rank	username	minecraft:dropped/minecraft:acacia_log
1	Hyp3rion_	29913
2	noam464	2137
3	Spacewardharpy7	1575
4	eitanzaki	893
5	AdmiralSmoke	792
6	Mahoose	608
7	gcaisawesome	599
8	ConnorDanky_	403
9	Di_infiri	352
10	beeperbeeper5	341
11	Blaiku	317
12	eiC_	305
13	TechnoNinja64	267
14	StarCookiees_	257
15	Skippeh	256
16	Groovy_MoonBird	244
17	Akoot_	240
18	laron58	223
19	kekhon	221
20	TastyPorkchop	188
21	Uzbeki_John	172
22	Jackattack53	156
23	xzvu	141
24	legal_tax_evader	137
24	DarlaMeow	137
26	Werbe	130
27	Hpdinosaur	128
27	500am	128
27	Hanselhoof	128
27	Jiminbub	128
27	Zetsey	128
27	BabyDaddy1	128
33	KarlKaek	115
34	thescout7	104
35	diamondgolem35	102
36	RedcatVII	100
37	ratglock	95
38	Nicserso	94
39	PazinGaming	93
39	Kowcio_	93
41	Blackberry1310	85
41	MadmanRaven	85
43	FreakGenius	78
44	Creativebuilder2	76
44	fw3xy74	76
46	Segotep999	75
47	lordpipe	69
47	Kyrum2169	69
49	Racengan	67
50	TheSecondLord	66
51	FujiBS	64
51	RobotMinion101	64
51	Shogunite	64
51	PlasticOtari	64
55	MyNameIsJobo	61
56	SvenskaHugo	60
57	EveryonesUncle	58
57	jnp_gaming	58
59	Mowelan	57
59	Skylord_Luke	57
59	kalzor	57
62	Tyrannosplart	56
63	Snowflowe	55
64	NameGenerat0r	54
64	mafiKiwi	54
66	jushykins	53
67	funeralhome	51
67	mariominejedi	51
69	r123moore	47
69	tartanboy	47
71	AvaRosey	46
72	Houstonion	41
73	Kubeusz2010	40
74	Swexti	38
75	YungMaki	36
76	pintsizedrogue	32
76	Soplight	32
78	chlorinex	31
78	thewindmillman	31
78	cichy096	31
81	TJawesome09	30
81	EcksD	30
81	JayToe	30
84	PigDab	29
85	xolstoi	28
86	ImpavidArcher	25
86	paranoid_plant	25
88	thgrocks	23
89	Doom_melon	22
90	andy_rex	21
90	ebanana	21
92	Lez_	20
92	jacxhadow	20
92	_Nuf	20
92	BlueZabu	20
92	Moetis	20
97	Alteriity	19
98	dabloons	18
98	SteveCraftBlocks	18
98	Patwannabegamer	18
98	Phanthium	18
98	kars0n	18
98	Vellu21	18
104	Dakar_	17
104	Ze_BaronKrigler	17
106	pixelviolin	16
106	Spenduh	16
106	fffMike	16
109	RenoDesu	15
110	Apollo_993	11
110	Harotio	11
110	Mattesco	11
113	Sleek_Storm_721	10
113	hanaryheatwave	10
113	SullivanNephew	10
116	CLG_Kata	9
116	Secret_Canary	9
116	luseis	9
119	bigstankyy	8
119	Blu3beast	8
119	Powowowow	8
122	SmashingPump	7
122	ChillenChiggen	7
122	Onennon	7
122	MS_Pryxx	7
122	WyngGoy	7
122	starbits140	7
122	__tomato	7
122	Ezekson	7
130	k_ce	6
130	potato292	6
130	DirtyBoar	6
130	IAmTheWalrus910	6
134	Kukkelikuk	5
135	Frozil20	4
135	Butternutsquatch	4
135	ThePoliteG	4
135	Chromary	4
135	sp00ky_ghost977	4
135	VentiHilton	4
135	Aryamanee	4
142	KingFaenor	3
142	BlancoFlaco	3
142	joethahobo	3
142	rarrq	3
142	MattieHD	3
142	lordsaladito	3
142	Diavri	3
142	Rebytre	3
142	Hiryu27	3
142	Luminad3	3
142	GooseWithin	3
142	jcool7	3
154	Mr_Byzantine	2
154	T045RTY	2
154	lorywithay	2
154	Fullut	2
154	SammiWolfGirl	2
154	MilleGrug	2
154	Sral7	2
161	Bandito_Roamer	1
161	Tommhh	1
161	Franco093	1
161	Batman922	1
161	Fractured_	1
161	jessewegottacook	1
161	set67	1
161	Scathra	1
161	2Stout	1
161	Marbz_	1
161	shockdocta	1
161	TheSeismicDuck	1
161	GravitySaint	1
161	ripddann	1
161	Optiprimus	1
161	Luigipunch989	1
161	Dreamdbr14	1
161	Njensen7	1
