rank	username	minecraft:dropped/minecraft:polished_granite
1	Smoke____	833
2	beeperbeeper5	768
3	Malorn_Aetherius	619
4	iHuntWeeaboos	573
5	EcksD	391
6	Xclax101	366
7	Powowowow	356
8	TheWildMateo	337
9	Werbe	333
10	CuzIm2Kev	227
11	chipklip	212
12	lordpipe	198
13	noam464	147
14	Zoeyfortnite	144
15	AuroraValkyrie	128
15	Di_infiri	128
15	kars0n	128
18	Bumpy419	117
19	Sheldor097	106
20	awesomeoneme	77
21	Blackberry1310	76
22	Onennon	72
23	MightyWertu	71
24	joethahobo	70
25	Freak_Genius	68
26	Mr_Byzantine	64
26	Fuhrer_Teemo	64
26	OfficerAnvil	64
29	_Karmaa	62
30	r123moore	53
31	Mocha_Mug	42
31	Shiirazuku	42
33	eitanzaki	40
34	pintsizedrogue	39
35	El_Jalapeno	38
36	Kowcio_	37
37	AlexxO_o	36
37	HolyVenom	36
39	Menthas	29
40	diamondgolem35	28
41	12Magner05	27
41	Luigipunch989	27
43	Dusk_95	24
44	NotoriousNina	18
45	Bandito_Roamer	17
46	lilsay	16
46	Mewar	16
46	Sky_light_KING	16
49	AnnieBathory	13
49	Blaiku	13
49	pixelviolin	13
49	monolu	13
53	brrh	12
53	groofles	12
53	UCP_TheKingK	12
53	Steelynan	12
57	Mahoose	10
58	kekhon	9
58	BilboBaggins23	9
58	LordSpeed37	9
61	NNikitas	8
61	bpmm	8
61	Karbl	8
61	ProbsNotNova	8
65	Inchef	7
66	ThePoliteG	6
66	crying_wolf_13	6
66	Touched_Bread	6
66	drunkeeez	6
66	mariominejedi	6
66	thewindmillman	6
66	KingMatthew506	6
66	Enderslayerxz3	6
74	SLASHZEERA	5
74	__hinterland__	5
74	djancak	5
74	Dogcorn69420	5
74	h2p_emrld	5
79	_Virify_	4
79	Franco093	4
79	wTXop	4
79	KlausVonStiglitz	4
79	MineMaster0012	4
79	Segotep999	4
79	PortlyPete69	4
79	obzii	4
79	Njensen7	4
79	Yahrto	4
89	BobDeBouwer1337	3
89	Xalithia	3
89	fkGrim	3
89	stahouo	3
89	krutas2000	3
94	DinoDoctor_	2
94	MOSS000	2
94	MrKrabOnCoke	2
94	MattieHD	2
94	TheThomas69	2
94	SellyZ	2
94	SeverianTheLame	2
94	TableTim	2
94	Ecplosive	2
94	Hyp3rion_	2
94	andy_rex	2
94	RodSerlingCringe	2
94	AlphaWolfPlaysMC	2
94	Deerfoot	2
94	Frozil12	2
94	_czarny	2
94	LazySupport00	2
94	swimingduck	2
94	layabout100	2
94	starbits140	2
94	_TCARREIRA_	2
115	TildaAndrea	1
115	Dedalus36	1
115	SaucyDark	1
115	_Razar	1
115	H72l9w	1
115	Swalt	1
115	bbrothers_5	1
115	TheEnusa	1
115	CliffEmAll	1
115	bloodbiter	1
115	m_be9	1
115	Kamflame10	1
115	mwrty	1
115	eviltunix	1
115	Covalents	1
115	Kubelz	1
115	Kakolbus	1
115	Donutt	1
115	Skylord_Luke	1
115	Nickitoe	1
115	seramalen	1
115	Moofyman	1
115	LilLizardWizard	1
115	lizardfightclub	1
115	wezzzi	1
115	EveryonesUncle	1
115	Deathkob	1
115	MinuteMira	1
115	NameGenerat0r	1
115	claivin	1
115	ProfessorDiaper	1
115	Vorlice	1
115	Spacewardharpy7	1
115	Airem_Core	1
115	monky_irl	1
115	WyngGoy	1
115	07shiny	1
115	Spenduh	1
115	jcool7	1
115	Skippeh	1
115	vandmanden	1
115	kinas45y5	1
115	sea_otter_h	1
