rank	username	minecraft:dropped/minecraft:white_dye
1	thewindmillman	2022651
2	noam464	74577
3	Hyp3rion_	35420
4	Spacewardharpy7	26605
5	EcksD	3798
6	imaginek1d	2693
7	eitanzaki	2407
8	Ecplosive	1511
9	Bandito_Roamer	1495
10	Jackattack53	1493
11	KG1999	1409
12	joethahobo	1363
13	lillips	825
14	Werbe	579
15	bigstankyy	555
16	Freak_Genius	538
17	kekhon	528
18	Miko_Fullbuster	497
19	beeperbeeper5	479
20	Blaiku	382
21	Smoke____	375
22	RedcatVII	353
23	Di_infiri	284
24	lordpipe	277
25	pZygh0st	257
26	Hiryu27	256
27	Natofthese	250
28	Racengan	249
29	oxfordschool	225
30	mwrty	216
31	mihimihimihi	210
32	Ssor69	191
32	Segotep999	191
34	PigDab	184
35	chipklip	182
36	Frozil20	176
37	Sky_light_KING	174
38	XboxPanda	170
39	Blackberry1310	132
40	binman420	131
41	Fuad_R	129
42	Merv__	127
42	Enderslayerxz3	127
44	set67	126
44	stahouo	126
46	Mahoose	125
46	thescout7	125
48	ILoveCarrot	124
49	Xclax101	109
50	wTXop	104
51	PeteO1995	100
52	TheSecondLord	99
53	Soap_Bender	96
54	egglapras	92
55	rarrq	91
56	stellarjay	82
57	SteveCraftBlocks	78
58	EveryonesUncle	77
59	Lord_Jord	73
60	r123moore	69
61	Akoot_	68
62	SellyZ	66
63	himak1	64
63	emrekn	64
63	MeanTugger	64
63	SpookyDraggin	64
63	CSG_Haru	64
63	Dogcorn69420	64
69	StinkyDiplomat	61
70	Blu3beast	59
71	nataliecool	58
71	500am	58
73	iHuntWeeaboos	57
74	Th6masss	55
75	Quaintster	53
76	MyNameIsJobo	50
77	AlphaWolfPlaysMC	43
78	Skylord_Luke	40
79	fluddd	38
79	YungMaki	38
81	Marbz_	37
81	NameGenerat0r	37
83	q_wq	36
84	SaucyDark	34
85	NomadicRobin_	33
86	stavgod	32
87	Da_Boss_Rani	30
87	Eraxa	30
87	AltnumberF4	30
90	Ezekson	29
91	_naturell	26
92	Soplight	25
93	12Magner05	24
94	Dusk_95	23
95	ssleepless	22
96	Iagoku	18
96	Bumpy419	18
96	_Karmaa	18
99	Lez_	17
99	RodSerlingCringe	17
101	Drlzyy	16
101	Karbl	16
101	Njensen7	16
101	Quotary	16
105	_Virify_	14
105	Nicky19	14
105	GlitchyPlate810	14
105	Steelynan	14
109	Vellu21	13
109	Dr0xzy	13
111	diamondgolem35	12
111	Inchef	12
111	TheTrueClipse	12
114	TildaAndrea	11
114	CalebDHawk	11
116	m_be9	10
116	IdeallyGrey	10
118	Wooptey	9
118	Smashic	9
118	xo_Marren_xo	9
118	EfficientC52	9
118	starbits140	9
118	UrbanPlanner1978	9
124	EMC_	8
124	Alteriity	8
124	Kuragari_	8
124	Maenara	8
124	the__Reaper4999	8
124	alderban107	8
130	CarltheCuck	7
130	Leyna3	7
130	_Bguette_	7
130	EcksDofficial	7
134	JEWISHBadenBeele	6
134	ImpavidArcher	6
134	RebelAndroid	6
134	Avermu	6
134	seramalen	6
134	E775	6
134	smogfrog	6
134	00000000-0000-0000-0009-01ff0c3e5e4f	6
142	ProfessorBee	5
142	ayqq	5
142	platinumzero	5
142	PortlyPete69	5
142	Slapface522	5
142	vandmanden	5
148	6king6colt6	4
148	_Dean_123	4
148	paranoid_plant	4
148	Xalithia	4
148	fr_ser	4
148	Jiminie	4
148	HellsSponge	4
148	TechnoNinja64	4
156	teslawolf38	3
156	Incinere	3
156	Natty	3
156	bloodbiter	3
156	Awyrlas	3
156	M_Patata	3
156	groofles	3
156	MasterNueve	3
156	djancak	3
156	SSytex_X	3
156	lcvezra	3
156	Nekomin0	3
156	Sheldor097	3
169	strongman951753	2
169	Zippyzam	2
169	yx80	2
169	Historical_Sand	2
169	Stynxy	2
169	roxycherry	2
169	Fullut	2
169	BlueZabu	2
169	Arceus1975	2
169	HAIRYCLOUD626	2
169	TheWildMateo	2
169	ooga47	2
169	XeroByMyth	2
169	Deathkob	2
169	CuzIm2Kev	2
169	proxivitoid	2
169	Juh1s	2
186	jimintyy	1
186	ZaneABrain	1
186	Huwulling	1
186	Prismyst	1
186	TheFlfthHorseman	1
186	heckface	1
186	Vizzoid	1
186	Euclidoris	1
186	jushykins	1
186	redikul	1
186	Motsaro	1
186	orxngejuice	1
186	eviltunix	1
186	xxPipperDipperxx	1
186	drunkeeez	1
186	SuperPooch06	1
186	ApophisNova	1
186	thgrocks	1
186	Luminad3	1
186	audiocracked	1
186	DarlaMeow	1
186	The_slideV3	1
186	GlitchMixed	1
186	SingedBread	1
186	MovingFish7	1
186	Cocoamallows	1
186	Optiprimus	1
186	cichy096	1
186	MyNamaSheff	1
186	Powowowow	1
186	PlasticOtari	1
