rank	username	minecraft:dropped/minecraft:brown_carpet
1	thewindmillman	2052
2	noam464	327
3	oxfordschool	262
4	KingMatthew506	76
5	Cocoamallows	65
6	eitanzaki	48
7	pintsizedrogue	34
8	beeperbeeper5	13
9	Lez_	8
9	Fullut	8
11	_Razar	6
11	Blackberry1310	6
13	NinjaKnifeKill	4
13	Mahoose	4
13	rarrq	4
13	NomadicRobin_	4
13	TechnoNinja64	4
18	joethahobo	3
18	Awyrlas	3
18	prizm_	3
21	T045RTY	2
21	TheSecondLord	2
21	kekhon	2
21	EveryonesUncle	2
21	HellsSponge	2
21	Spacewardharpy7	2
21	obzii	2
21	EcksD	2
29	EMC_	1
29	Historical_Sand	1
29	Arceus1975	1
29	thgrocks	1
29	Shogunite	1
29	Blu3beast	1
29	Eraxa	1
29	stahouo	1
29	Legendosh	1
