rank	username	minecraft:dropped/minecraft:honey_block
1	noam464	69044
2	EcksD	21459
3	thewindmillman	15328
4	PhantomsGhost_	961
5	lillips	472
6	WWWWMWWWWWWWWWWW	448
7	eitanzaki	306
8	Di_infiri	200
9	EMC_	165
10	Smoke____	159
11	Blaiku	111
12	Spacewardharpy7	70
12	Enderslayerxz3	70
14	Freak_Genius	65
15	diamondgolem35	64
15	ShedJr_	64
15	GlitchyPlate810	64
18	kinas45y5	38
19	obzii	32
20	rarrq	24
21	500am	19
22	bloodbiter	17
23	Fullut	16
24	KG1999	15
25	PigDab	14
26	Mahoose	9
27	Kakolbus	8
27	Chromary	8
27	Lord_Jord	8
30	NameGenerat0r	7
31	Blackberry1310	6
32	jacxhadow	5
32	kekhon	5
32	Awyrlas	5
32	Werbe	5
32	AssEatrAndLicker	5
32	Zoeyfortnite	5
38	KliBeast21	4
38	YungMaki	4
40	Swexti	3
40	beeperbeeper5	3
40	LotusProject	3
40	Xalithia	3
40	WET_WET_WET	3
40	Akoot_	3
40	Eraxa	3
40	MeetTheWollo	3
40	EcksDofficial	3
49	shyshyannne	2
49	Inchef	2
49	Afinnity	2
49	KnightmareD	2
49	Airem_Core	2
49	djancak	2
49	Ezekson	2
49	HesDemonPants	2
49	PlasticOtari	2
58	Merv__	1
58	T045RTY	1
58	TheSecondLord	1
58	xxPipperDipperxx	1
58	Jackattack53	1
58	happy_mileo	1
58	Hyp3rion_	1
58	cedric72	1
58	dezxalo	1
58	Inbefour	1
58	jacobsoy	1
58	claivin	1
58	TheTommyGun63	1
58	sigmabich	1
58	CSG_Haru	1
58	Spenduh	1
58	PortlyPete69	1
58	CalebDHawk	1
58	sebastiensaborio	1
58	oxfordschool	1
58	remmisrat	1
