rank	username	minecraft:dropped/minecraft:sponge
1	500am	3016
2	thewindmillman	2884
3	YungMaki	714
4	AuroraValkyrie	626
5	EcksD	622
6	noam464	479
7	Spacewardharpy7	478
8	Blu3beast	412
9	Enderslayerxz3	292
10	eitanzaki	278
11	joethahobo	255
12	Snowflowe	232
13	Mahoose	225
14	Ezekson	196
15	Jackattack53	191
16	Dogcorn69420	188
17	Blaiku	184
18	PigDab	162
19	Segotep999	156
20	lizardfightclub	148
21	jnp_gaming	142
22	6king6colt6	128
22	Frozil12	128
24	NomadicRobin_	127
25	Iagoku	124
26	obzii	123
27	himak1	114
28	Hermanni__	104
29	Smoke____	102
30	SammiWolfGirl	97
31	T045RTY	96
32	QueenShuvi	95
33	Di_infiri	79
34	ApophisNova	75
34	MyNamaSheff	75
36	Hyp3rion_	72
36	Maenara	72
38	Inbefour	71
38	Drawgirll	71
40	ImpavidArcher	69
40	Werbe	69
42	EMC_	64
42	beeperbeeper5	64
42	Fullut	64
42	NameGenerat0r	64
42	Soplight	64
42	Legendosh	64
42	FishisTTV	64
49	pintsizedrogue	62
49	Blackberry1310	62
51	PortlyPete69	52
52	oxfordschool	44
53	bigstankyy	43
54	DarlaMeow	42
55	gcaisawesome	39
56	Sral7	38
57	MattieHD	34
57	k1ngGilgamesh	34
59	Chromary	32
59	Lord_Jord	32
59	Powowowow	32
62	The_slideV3	31
63	diamondgolem35	29
63	fred870d	29
65	Merv__	27
65	Bumpy419	27
67	Flapjacker687	24
67	XboxPanda	24
69	paranoid_plant	22
69	Deodorante	22
71	Spenduh	18
71	fffMike	18
73	stavgod	17
74	Comma__	14
74	Paintz	14
74	TechnoNinja64	14
77	WET_WET_WET	13
78	12Magner05	9
78	jcool7	9
80	Zythose	8
80	Shiirazuku	8
82	Freak_Genius	7
82	robotemo	7
84	yatsuta	6
85	NinjaKnifeKill	4
85	xxPipperDipperxx	4
85	Factoroni	4
85	djancak	4
89	PhantomsGhost_	3
89	TheTrueClipse	3
89	Groundler	3
89	Racengan	3
89	HAruSAme14	3
94	TheSecondLord	2
94	eviltunix	2
94	Hiryu27	2
94	Onennon	2
94	DarkS0L	2
94	ProbsNotNova	2
100	Euclidoris	1
100	kekhon	1
100	Arceus1975	1
100	Skylord_Luke	1
100	Sky_light_KING	1
100	AlexChristian	1
100	ediballbearings	1
100	APS_Dan	1
100	CalebDHawk	1
