rank	username	minecraft:dropped/minecraft:fern
1	chipklip	187
2	MyNameIsJobo	128
3	EveryonesUncle	88
4	ProfessorBee	74
5	SSytex_X	69
6	TildaAndrea	27
7	mwrty	26
8	Freak_Genius	25
9	IAmTheWalrus910	23
10	Steelynan	20
11	KarlKaek	19
12	MunkaKris	18
13	El_Jalapeno	16
13	Frozil12	16
15	WET_WET_WET	15
16	fred870d	14
17	TechnoNinja64	12
18	Strangemonkey71	11
19	Spacewardharpy7	10
20	eitanzaki	9
20	beeperbeeper5	9
22	Ssor69	8
22	lordpipe	8
22	EcksD	8
25	500am	6
25	Bumpy419	6
25	SammiWolfGirl	6
28	Historical_Sand	5
28	MovingFish7	5
28	kinas45y5	5
31	RoskobiOne	4
31	TheSecondLord	4
31	kekhon	4
31	lcvezra	4
35	Comma__	3
35	Hyp3rion_	3
35	regulator75	3
35	BronkerBrum	3
35	RobotMinion101	3
35	Jonte0599	3
41	The_Great_Jake	2
41	Myszoaz	2
41	Unitas_isa	2
41	Fullut	2
41	Winklepicker279	2
41	Akoot_	2
41	wezzzi	2
41	TheSeismicDuck	2
41	ese_wn_po	2
41	_Bguette_	2
41	Blu3beast	2
41	GravitySaint	2
41	Cocoamallows	2
41	Kowcio_	2
41	Skippeh	2
41	coobert42	2
57	Groovy_MoonBird	1
57	Merv__	1
57	bigstankyy	1
57	SaucyDark	1
57	CoffeeNoir	1
57	Mahoose	1
57	joethahobo	1
57	rarrq	1
57	Nicky_H225	1
57	_Dean_123	1
57	Austine6698	1
57	Kamflame10	1
57	CollinMH06	1
57	Arceus1975	1
57	Jiminie	1
57	MAns_44	1
57	fluddd	1
57	Blaiku	1
57	SUN_DREAM	1
57	ayamefag	1
57	YungMaki	1
57	Smoke____	1
