rank	username	minecraft:dropped/minecraft:birch_log
1	Hyp3rion_	125377
2	noam464	24315
3	Spacewardharpy7	19189
4	FreakGenius	6523
5	thewindmillman	2952
6	Blackberry1310	2696
7	Di_infiri	2647
8	AdmiralSmoke	1874
9	eitanzaki	1728
10	Jackattack53	1376
11	Skylord_Luke	1358
12	Werbe	1261
13	Blu3beast	1234
14	EcksD	1233
15	beeperbeeper5	1110
16	HesDemonPants	1056
17	MineMaster0012	990
18	Kowcio_	961
19	Mahoose	892
20	xolstoi	760
21	BlancoFlaco	741
22	Ezekson	736
23	NomadicRobin_	719
24	joethahobo	675
25	H0UNDFRMH3LL	518
26	PlasticOtari	506
27	Uzbeki_John	496
28	tuckerdoodle	491
29	YungMaki	483
30	Akoot_	456
31	lordpipe	452
31	UCP_TheKingK	452
33	LordSpeed37	446
34	Iamthejo	384
35	Segotep999	379
36	Nicserso	373
37	Marbz_	352
38	xzvu	342
39	legal_tax_evader	324
40	PhantomsGhost_	322
40	Wowful	322
42	Crowman1	303
43	kekhon	289
44	KingMatthew506	273
45	iElijah	272
46	luseis	262
47	TechnoNinja64	258
48	Krasnal1337	256
48	r123moore	256
50	Blaiku	253
51	eviltunix	251
52	mwrty	242
53	PortlyPete69	241
54	SyntheticSurgeon	226
55	T045RTY	225
56	Zoeyfortnite	218
57	thescout7	216
58	lillips	207
59	Huwulling	205
59	UncreativeArtist	205
61	Racengan	202
62	500am	193
62	Inchef	193
64	eiC_	192
65	Fuad_R	188
66	SirPiccardo	176
67	cichy096	174
68	jcool7	168
69	ConnorDanky_	160
70	AlexxO_o	159
71	Arceus1975	154
71	mihimihimihi	154
73	NinjaKnifeKill	151
74	diamondgolem35	149
75	diggydog67	146
76	HellsSponge	138
77	Snowflowe	134
78	Alteriity	133
78	DarlaMeow	133
80	IamCL4SSY	129
81	xxPipperDipperxx	128
81	M_Patata	128
81	DaviusMaximoose	128
81	MasterNueve	128
85	XboxPanda	127
85	Hiryu27	127
87	_Nuf	122
87	Fullut	122
89	CattSoup	113
90	AlphaWolfPlaysMC	112
91	Upstro10	110
92	bigstankyy	108
93	00000000-0000-0000-0009-01ff0c3e5e4f	106
94	Ryan_GEMS	104
95	PigDab	103
96	SvenskaHugo	99
97	burbankbuilder28	97
98	PlzNoBM	94
99	Elastiq	93
100	EMC_	92
101	stavgod	89
102	Groundler	88
102	__tomato	88
104	Shin69	86
105	lorpus	85
105	anbbang	85
107	Smashic	81
108	rarrq	80
108	Powowowow	80
110	The11thDoctor	78
111	trixterrx	76
111	DAD_1996	76
113	MyNameIsJobo	74
113	ese_wn_po	74
115	seramalen	72
116	Kakolbus	71
116	F_Uhre	71
118	emrekn	69
118	Jonafrog99	69
118	Yahir091	69
118	561cool	69
122	Lez_	68
123	The_slideV3	67
124	alderban107	66
124	Enderxz3	66
126	elleparo	65
126	SteveCraftBlocks	65
128	Creativebuilder2	64
128	jessewegottacook	64
128	featherflyy	64
128	Nostrom	64
128	Awyrlas	64
128	LeauVox4921	64
128	imcombxt	64
128	Maenara	64
128	MAns_44	64
128	SpacesickPrism	64
128	Jimb0nat0r	64
139	Killercatty78	63
140	Cryptacity	60
141	ReyTheLegend	59
142	LexMakesHistory	57
142	djancak	57
144	Vellu21	56
145	gren_ben	54
145	mads388a	54
145	Rebytre	54
148	Dakar_	53
149	set67	51
150	_Cloverbelle_	49
150	Soap_Bender	49
152	SuperPooch06	48
153	TheSecondLord	47
153	TheThomas69	47
153	LavenderBi1ch	47
153	LeeMcGee30	47
157	Mr_Byzantine	46
157	FishyBoy3811	46
159	corvidpartyfor6	45
159	QuacksonThe3rd	45
161	groofles	44
162	skrongus	43
163	EveryonesUncle	42
163	MissCeleste7	42
165	masskedman	39
165	Sheldor097	39
167	Tyrannosplart	38
167	_i_ERROR_i_	38
169	Xalithia	36
170	Da_Boss_Rani	35
170	Cocoamallows	35
172	Trixididntdie	34
173	Mattesco	33
174	hm947	32
174	adeptius	32
176	Ao_Ken	31
176	silverpopcorn	31
176	sadvavilloso	31
179	CoffeeNoir	30
179	SquadMonster	30
179	Felenov	30
182	Phoenix_Diacou	29
183	jewbacaman	28
183	Lord_Jord	28
183	Spenduh	28
186	Winklepicker279	27
186	GreedyFern8581	27
186	SaintJosie	27
186	Nycteus_	27
190	elmer1234	26
191	UrbanPlanningEx	25
192	Wooptey	24
192	epiksk8erduck	24
194	BlueZabu	23
195	catandmoose	22
195	fade_emerge78823	22
195	PeteO1995	22
195	Onennon	22
195	pixelviolin	22
200	Krowuss	21
200	sp00ky_ghost977	21
202	SaucyDark	19
202	CowOfTheNile	19
202	Burge_r	19
202	UltraZombie	19
206	JETrotter	18
206	Bumpy419	18
206	PA_Tech_Gaming	18
209	Ze1ig	17
209	FroggoTheDoggo	17
211	xPixelRainx	16
211	Vegvisir	16
211	layabout100	16
214	eclipseboi	15
215	Groovy_MoonBird	14
215	Quaintster	14
217	BigBootyHudge	13
217	Shiirazu	13
217	magmaniacmc	13
217	Soplight	13
217	Steelynan	13
222	Louiis123	12
222	Frozil20	12
222	picardred	12
222	Z3braYTIL	12
222	__TheNorseMan__	12
222	Justins_Juliet	12
222	RobotMinion101	12
222	Pootis11	12
222	Inbefour	12
222	fluddd	12
222	SSytex_X	12
222	Luigipunch989	12
234	KomputerDude	11
234	Presisor	11
234	LeonelSalamanca	11
234	Kura2218	11
234	Rainaldus	11
234	AltnumberF4	11
240	ImpavidArcher	10
240	Ssor69	10
240	Malorn_Aetherius	10
240	ProfessorBee	10
240	crying_wolf_13	10
240	TheDankPlatypus	10
246	_Virify_	9
246	Raspberry_Sodas	9
246	MattieHD	9
246	KliBeast21	9
246	Manaateee	9
246	Jordan_R	9
252	Tommhh	8
252	Sleepy_Time_	8
252	WET_WET_WET	8
252	Truckoss	8
252	ougstur	8
252	MinuteMira	8
252	_Karmaa	8
252	Xclax101	8
252	SammiWolfGirl	8
261	soundad	7
261	Sabby65	7
261	ItzYaBoiPicard	7
261	olliebollie48	7
261	TableTim	7
261	NarwhalTaco	7
261	Akuzmi	7
261	SullivanNephew	7
261	GooseWithin	7
261	yulgur1	7
261	SingedBread	7
272	Zippyzam	6
272	gaziter10	6
272	BINKENSTOCK	6
272	ROY4LE	6
272	mariominejedi	6
272	TheWildMateo	6
272	Vetral1	6
272	zToasty69z	6
272	HolyVenom	6
272	Rasmanden	6
272	Syropatathe	6
272	wobn	6
272	Beagle_Boy	6
272	Avocadogerms	6
272	ChronoSounds	6
287	NatalieTW	5
287	_Huge_Male_	5
287	La_Conne	5
287	Paleshield	5
287	Incinere	5
287	Seyaboy	5
287	lotarp	5
287	301851	5
287	NieToksikpl	5
287	jacxhadow	5
287	Hamsanders	5
287	yheece	5
287	Chromary	5
287	ApophisNova	5
