rank	username	minecraft:dropped/minecraft:bone_meal
1	Hyp3rion_	8653625
2	thewindmillman	1779605
3	Spacewardharpy7	1401174
4	noam464	633429
5	Jackattack53	573399
6	hanaryheatwave	274188
7	EcksD	83168
8	pixelviolin	67093
9	Blaiku	45666
10	AdmiralSmoke	26404
11	eitanzaki	26362
12	mihimihimihi	15514
13	Frozil20	13880
14	EMC_	12405
15	jcool7	5377
16	PigDab	5360
17	k_ce	5293
18	Jimb0nat0r	4274
19	SpacesickPrism	3608
20	_Virify_	2033
21	Blackberry1310	1905
22	Hisiste	1759
23	non089	1498
24	Quaintster	1452
25	beeperbeeper5	1355
26	lordpipe	1354
27	joethahobo	1352
28	rarrq	1240
29	Mahoose	1195
30	Lez_	1150
31	Nicserso	1119
32	shadowthemonkey	1004
33	Bumpy419	947
34	ConnorDanky_	927
35	Iamthejo	886
36	Quotary	852
37	Fuad_R	846
38	Manaateee	821
39	AlexxO_o	781
40	Di_infiri	776
41	kekhon	731
42	Ezekson	725
43	tuckerdoodle	674
44	CrateOfBoxes	671
45	El_Jalapeno	667
46	Xclax101	623
47	Groovy_MoonBird	621
48	_Mythic____	582
49	jnp_gaming	522
50	Segotep999	520
51	Merv__	502
52	2blox_	486
53	Akoot_	482
54	FreakGenius	481
55	Groundler	465
56	xolstoi	452
57	gcaisawesome	434
57	Inbefour	434
59	Zoeyfortnite	400
60	Corbsman	379
61	Da_Boss_Rani	375
62	Soplight	360
62	TechnoNinja64	360
64	LeauVox4921	352
64	DarlaMeow	352
66	zToasty69z	349
67	YungMaki	340
68	Snowflowe	337
69	thescout7	326
70	Dreamdbr14	323
71	SmashingPump	306
72	Bandito_Roamer	300
72	Smashic	300
74	Mattesco	298
75	Werbe	295
76	ImpavidArcher	262
77	pintsizedrogue	260
77	HolyVenom	260
79	Lord_Jord	257
80	Rasmanden	256
81	Chromary	254
82	luseis	248
83	WyngGoy	239
83	Kyrum2169	239
85	Hiryu27	231
86	Fullut	217
87	JayToe	203
88	SaintJosie	202
89	Rebytre	200
90	Legendosh	192
91	legal_tax_evader	191
92	PhantomsGhost_	184
93	_Nuf	168
94	MightyWertu	165
95	Tyrannosplart	163
96	Killercatty78	162
96	Eraxa	162
98	HellsSponge	153
99	XboxPanda	151
100	pumpfonzo	144
101	_TCARREIRA_	139
102	Njensen7	134
102	FGamerJ	134
104	MakeHistory157	131
104	TheOuterCore	131
106	BumbleBeever	130
106	youarefrench_	130
108	xxPipperDipperxx	129
109	soundad	128
109	Furiuosbeast0404	128
109	Wooptey	128
109	Swexti	128
109	nocturne78	128
109	KGTV	128
109	NotKaden_	128
109	laron58	128
117	redikul	124
118	anbbang	123
119	fanofbands101	121
119	Arceus1975	121
121	diggydog67	119
122	lillips	117
122	LeeMcGee30	117
124	EveryonesUncle	115
125	TheSecondLord	114
126	catandmoose	110
127	Warlord324	109
127	KingMatthew506	109
129	Steelynan	108
130	33sudo	107
131	MilleGrug	106
132	Enderxz3	105
133	_Bguette_	104
134	CalebDHawk	103
135	_Dean_123	102
135	Jonafrog99	102
137	MovingFish7	98
