rank	username	minecraft:dropped/minecraft:chipped_anvil
1	eitanzaki	95
2	Chromary	73
3	kekhon	50
4	noam464	17
5	Eraxa	6
6	jcool7	5
7	Kowcio_	4
7	NATE_the_HALO	4
9	Euclidoris	3
9	Hyp3rion_	3
9	Reneedium	3
9	Blaiku	3
9	Groundler	3
9	Racengan	3
15	pintsizedrogue	2
15	joethahobo	2
15	Blackberry1310	2
15	set67	2
15	Cocoamallows	2
15	StarCookiees_	2
15	YungMaki	2
15	Powowowow	2
23	CLG_Kata	1
23	SoosAmongus	1
23	TildaAndrea	1
23	Frozil20	1
23	ImpavidArcher	1
23	SyntheticSurgeon	1
23	Lez_	1
23	stevewithclout	1
23	beeperbeeper5	1
23	rarrq	1
23	Saucepeh	1
23	Secret_Canary	1
23	_Dean_123	1
23	Austine6698	1
23	excelsionprime	1
23	paranoid_plant	1
23	thescout7	1
23	HoltGrim	1
23	Kakolbus	1
23	thewindmillman	1
23	jewbacaman	1
23	fkGrim	1
23	Quaintster	1
23	Spacewardharpy7	1
23	lordpipe	1
23	pixelviolin	1
23	xzvu	1
23	_i_ERROR_i_	1
23	alderban107	1
23	Kubeusz2010	1
23	hauspool	1
23	Mr_Teddiursa_K	1
23	jnp_gaming	1
23	skrongus	1
23	WYFYoyo	1
23	AdmiralSmoke	1
