rank	username	minecraft:dropped/minecraft:smooth_stone_slab
1	Hyp3rion_	36846
2	noam464	33693
3	Spacewardharpy7	30243
4	Jackattack53	12136
5	thewindmillman	8222
6	eitanzaki	2156
7	SteveCraftBlocks	1916
8	mihimihimihi	1888
9	AdmiralSmoke	1857
10	Xclax101	661
11	Frozil20	635
12	Kowcio_	614
13	Blaiku	514
14	EcksD	489
15	Krowuss	466
16	MightyWertu	460
17	MilleGrug	362
18	joethahobo	326
19	lordpipe	305
20	rarrq	295
21	F_Uhre	293
22	thescout7	256
23	Blackberry1310	254
23	DTwenty	254
25	Fuad_R	234
26	Di_infiri	228
27	ImpavidArcher	196
27	_Bguette_	196
27	lillips	196
30	Comma__	167
31	T045RTY	164
31	MyNameIsJobo	164
33	El_Jalapeno	162
34	MinttyFressh	160
35	Marbz_	143
36	EveryonesUncle	141
37	set67	140
38	kekhon	130
39	Arceus1975	126
40	SvenskaHugo	106
41	Blu3beast	91
42	Skylord_Luke	89
43	Kyrum2169	74
44	Lez_	73
45	SuperPooch06	72
46	lorpus	71
47	m_be9	70
48	AlphaWolfPlaysMC	69
49	SaucyDark	68
50	Onennon	65
51	AuroraValkyrie	64
51	Parcc	64
51	Jimb0nat0r	64
54	TheSecondLord	63
55	HesDemonPants	62
56	beeperbeeper5	61
56	anbbang	61
58	Eraxa	60
58	stellarjay	60
60	Groovy_MoonBird	59
61	YungMaki	57
62	Kynigito	51
63	EMC_	50
63	PigDab	50
65	UCP_TheKingK	49
66	Racengan	48
67	CoffeeNoir	45
68	Natty	44
69	PlasticOtari	43
70	Myszoaz	42
70	TechnoNinja64	42
72	500am	39
73	kars0n	38
74	CalebDHawk	37
75	Uzbeki_John	36
76	luseis	34
77	Groundler	32
78	burbankbuilder28	31
78	TheShyPig	31
80	Alteriity	29
80	Kakolbus	29
80	Sheldor097	29
80	ConnorDanky_	29
84	impossibleteapot	26
84	Syropatathe	26
86	Zoeyfortnite	24
87	Bumpy419	23
87	Nicserso	23
89	2Stout	22
89	LilcoinXX	22
89	Segotep999	22
92	Mahoose	20
92	JoCoLi	20
92	Hermanni__	20
95	alderban107	18
95	VentiHilton	18
95	RadarHz	18
98	PazinGaming	16
98	Luminad3	16
98	Spenduh	16
98	Sral7	16
102	Ze1ig	15
103	Mr_Byzantine	14
103	Cowison	14
103	RobotMinion101	14
106	k_ce	13
106	Ssor69	13
106	Zaridey	13
106	aldplaysmc	13
110	TableTim	12
110	JustinRee	12
112	Prismyst	11
112	HellsSponge	11
112	fluddd	11
115	Merv__	10
115	Touched_Bread	10
115	CollinMH06	10
115	Snowflowe	10
115	wobn	10
120	livingdaydreams	9
120	cog	9
120	stavgod	9
120	AltnumberF4	9
124	titanlax	8
124	Smashic	8
124	Lord_Jord	8
124	FreakGenius	8
124	SammiWolfGirl	8
124	Powowowow	8
130	_Nuf	7
130	ApophisNova	7
130	MyNamaSheff	7
133	_Virify_	6
133	hm947	6
133	Tiberonus	6
133	mwrty	6
133	shadowthemonkey	6
133	_Karmaa	6
139	teslawolf38	5
139	Fullut	5
139	prizm_	5
139	fallingemma	5
139	NomadicRobin_	5
139	handsome_strong	5
139	MovingFish7	5
139	OG_Songsee	5
139	SSytex_X	5
139	skrongus	5
139	00000000-0000-0000-0009-01f570995a20	5
150	H0UNDFRMH3LL	4
150	pintsizedrogue	4
150	_Huge_Male_	4
150	PhantomsGhost_	4
150	diamondgolem35	4
150	Zippyzam	4
150	RebelAndroid	4
150	youhjjhhhjj	4
150	Swexti	4
150	Inchef	4
150	WET_WET_WET	4
150	Werbe	4
150	Maenara	4
150	the__Reaper4999	4
150	SkateboardR6	4
150	Cocoamallows	4
150	Optiprimus	4
150	djancak	4
150	Steelynan	4
169	Sleek_Storm_721	3
169	Ryan_GEMS	3
169	himak1	3
169	r123moore	3
169	hanaryheatwave	3
169	wTXop	3
169	IamCL4SSY	3
169	Manaateee	3
169	Shogunite	3
169	GravitySaint	3
169	layabout100	3
169	ediballbearings	3
181	6king6colt6	2
181	Killercatty78	2
181	Incinere	2
181	Vensterbankje	2
181	Huwulling	2
181	Historical_Sand	2
181	TinMaster	2
181	jushykins	2
181	Patwannabegamer	2
181	KingEgg1	2
181	IronyMan69	2
181	AbnormallyAllen	2
181	xambsam	2
181	Rebytre	2
181	Wowful	2
181	Blamphe	2
181	FreddyFart	2
181	Leithz6	2
181	iSammael	2
181	__tomato	2
181	jcool7	2
181	Ezekson	2
181	jnp_gaming	2
181	Faart	2
205	soundad	1
205	shineh10	1
205	ssleepless	1
205	Hpdinosaur	1
205	peach0s	1
205	Rich_Kat	1
205	12Magner05	1
205	Boboczus	1
205	MattieHD	1
205	ProfessorBee	1
205	Guillemet	1
205	corvidpartyfor6	1
205	wiqor	1
205	Scathra	1
205	ROY4LE	1
205	Winklepicker279	1
205	King_Pancake1	1
205	pappaberg	1
205	domagawha	1
205	MustardDrinker	1
205	AlexxO_o	1
205	The_slideV3	1
205	MustaLoordi	1
205	TheMiddayMoon	1
205	Soplight	1
205	xzvu	1
205	PortlyPete69	1
205	KingMatthew506	1
205	Iamthejo	1
205	Quotary	1
205	cichy096	1
205	Jordan_R	1
