rank	username	minecraft:dropped/minecraft:dark_oak_planks
1	Spacewardharpy7	13490
2	EcksD	5372
3	eitanzaki	1390
4	rarrq	983
5	Hiryu27	961
6	GingerNeutron	669
7	burbankbuilder28	593
8	Russiancat1	515
9	Wooptey	512
10	Tobinator_007	405
11	beeperbeeper5	399
12	Frozil12	397
13	Freak_Genius	373
14	jnp_gaming	365
15	kekhon	355
16	Mahoose	351
17	lillips	343
18	Smoke____	342
19	Blackberry1310	331
20	noam464	326
21	Karbl	318
22	oxfordschool	315
23	EveryonesUncle	314
24	chipklip	305
25	stahouo	295
26	Merv__	290
27	Blaiku	289
28	jacxhadow	284
29	stellarjay	276
30	lcvezra	266
31	Ezekson	249
32	HellsSponge	248
33	xxPipperDipperxx	243
34	Lil_Breadboy	240
34	AnnieBathory	240
36	Di_infiri	227
37	thewindmillman	223
38	KingMatthew506	213
39	Fullut	212
40	Zythose	202
41	Ssor69	198
41	sebastiensaborio	198
43	Skippeh	196
44	SellyZ	184
44	gcaisawesome	184
46	SkateboardR6	183
47	teslawolf38	174
48	fallingemma	171
48	Racengan	171
50	Leyna3	169
51	LeeMcGee30	163
52	Nekomin0	152
53	Blu3beast	149
54	DarlaMeow	147
55	TechnoNinja64	143
56	RobotMinion101	138
56	EcksDofficial	138
58	PigDab	136
59	TheSecondLord	135
59	k1ngGilgamesh	135
61	Groovy_MoonBird	134
61	Kubeusz2010	134
63	Mr_Worthless	132
64	censorsheep	131
65	Stiar	130
66	moonman169	129
67	carloselpapii	128
67	mimbo1211	128
67	Deguns123	128
67	Quotary	128
67	Sral7	128
67	aao001	128
73	fluddd	122
74	500am	121
75	Eraxa	113
76	Kynigito	112
76	Zetsey	112
78	Euclidoris	107
79	lordpipe	103
80	TheDankPlatypus	99
81	eviltunix	97
81	Akoot_	97
81	NameGenerat0r	97
84	Werbe	95
84	AssEatrAndLicker	95
86	Uzbeki_John	94
87	CliffEmAll	91
88	NatrixxddxYT	89
88	mariominejedi	89
90	Soplight	84
91	bigstankyy	83
91	Chromary	83
93	Xclax101	80
94	Healthing	78
94	ImpavidArcher	78
96	yaboo88	76
97	Natty	72
97	bruh072	72
97	diggydog67	72
100	Spenduh	70
100	PortlyPete69	70
102	ratglock	69
102	Kyrum2169	69
104	Hisiste	68
105	stuy9	67
106	ProfessorBee	66
107	Ecplosive	65
107	TheOuterCore	65
109	buss081	64
109	Cartoonmaniac	64
109	emrekn	64
109	kars0n	64
109	Shogunite	64
114	Sheldor097	63
115	_Razar	62
116	RohnJosin	60
116	__tomato	60
116	CalebDHawk	60
119	Nach0Bear	59
119	benediktine1	59
121	Leftsy	57
121	Powowowow	57
123	SaucyDark	56
124	FishisTTV	55
125	ROY4LE	54
126	Foof13	52
126	ImDisconnected_	52
126	MyNameIsJobo	52
129	dopplexd	51
130	_Dean_123	49
131	Houstonion	48
131	Vetral1	48
133	FirsTimeGamingTV	47
134	set67	46
135	T045RTY	45
136	KarlKaek	43
137	CoffeeNoir	40
137	joethahobo	40
137	CookTheChef3	40
140	AshleeCW	39
141	r123moore	38
141	yulgur1	38
141	smogfrog	38
144	h2p_emrld	37
145	Matorz	36
146	CollinMH06	34
146	SokaOtaku	34
148	YungJakobo	33
148	djancak	33
148	snizv1	33
151	m_be9	32
151	TheDiamondCG	32
151	MousePlays	32
154	egglapras	31
154	Quaintster	31
156	thescout7	30
156	Njensen7	30
158	hm947	29
159	SammiWolfGirl	28
159	kinas45y5	28
161	12Magner05	27
162	_NieToksikpl_	26
162	fkGrim	26
162	Jamstroxian	26
165	__TheNorseMan__	25
165	anbbang	25
167	ThePoliteG	23
167	mwrty	23
169	Bumpy419	22
169	DTwenty	22
169	MightyWertu	22
169	stavgod	22
169	alderban107	22
174	Incinere	20
174	paranoid_plant	20
174	Noah_Bez	20
174	Kowcio_	20
174	Zoeyfortnite	20
179	DarkS0L	19
180	Ao_Ken	18
180	monky_irl	18
180	UrbanPlanner1978	18
183	NinjaKnifeKill	17
184	Drlzyy	16
184	XboxPanda	16
184	SuperPooch06	16
184	KliBeast21	16
184	AssFullaCum	16
184	MilleGrug	16
190	platinumzero	15
190	NomadicRobin_	15
190	Dusk_95	15
190	YungMaki	15
194	boog4loo	14
194	seramalen	14
194	SpouHn	14
197	Lotheburgh	13
198	livingdaydreams	12
198	TheTommyGun63	12
198	adiccting01	12
201	Hyp3rion_	11
201	EfficientC52	11
201	MustaLoordi	11
201	Ze_BaronKrigler	11
201	voiding_	11
201	jcool7	11
201	Winston_Ingram	11
208	Swexti	10
208	2blox	10
208	JayToe	10
211	MSK__	9
211	Historical_Sand	9
213	RosaDoesMC	8
213	Cowison	8
213	error10101	8
213	_Nuf	8
213	Scathra	8
213	Awyrlas	8
213	Kakolbus	8
213	gabriels543	8
213	wezzzi	8
213	Nicserso	8
213	Legendosh	8
224	6king6colt6	7
224	I_Am_Mushkin	7
224	Myszoaz	7
224	CrookedKaptain	7
224	loveseeker	7
224	FishyBoy3811	7
224	dogvis	7
224	Warlord324	7
224	Yahir091	7
224	VentiHilton	7
224	Enderslayerxz3	7
235	hollowww	6
235	PhantomBionic	6
235	TheEnusa	6
235	heckface	6
235	fr_ser	6
235	Jackattack53	6
235	Skylord_Luke	6
235	Onennon	6
235	Maenara	6
235	MyNameIsDakar	6
235	claivin	6
235	pipejob	6
247	ShedJr_	5
247	H72l9w	5
247	SquadMonster	5
247	Inchef	5
247	Karetoko	5
247	pappaberg	5
247	Kouridragon	5
247	Hail_the_wombat	5
247	420BreadLizard	5
247	ebanana	5
247	cichy096	5
258	pintsizedrogue	4
258	Bandito_Roamer	4
258	PhantomsGhost_	4
258	ColeSnyder	4
258	tsohomie	4
258	Prodiginus	4
258	Auseawesome	4
258	Kkanot	4
258	Tjhodskins19	4
258	M_Patata	4
258	KeruNatsema	4
258	RodSerlingCringe	4
258	ogoa	4
258	_Bguette_	4
258	The_slideV3	4
258	Groundler	4
258	yoyoYoloMonke	4
258	MovingFish7	4
258	Airem_Core	4
258	MasterNueve	4
258	babyjimmyneutron	4
258	KG1999	4
258	sadvavilloso	4
258	_TCARREIRA_	4
258	Dreamdbr14	4
258	TrollerYT	4
258	MusicMe1005	4
285	jjettii	3
285	_Virify_	3
285	Iagoku	3
285	TooManyDuck	3
285	Natofthese	3
285	Ozixar	3
285	Malorn_Aetherius	3
285	lordsaladito	3
285	groggregg42	3
285	intropass	3
285	Rumpletaezer	3
285	Arceus1975	3
285	andy_rex	3
285	TheShyPig	3
285	Dan_Scha	3
285	audiocracked	3
