rank	username	minecraft:dropped/minecraft:dark_oak_leaves
1	binman420	699
2	LeEricc	307
3	noam464	306
4	TechnoNinja64	279
5	eitanzaki	258
6	Mahoose	256
7	LeGold	240
8	kekhon	226
9	JayToe	216
10	420BreadLizard	192
11	HesDemonPants	184
12	burbankbuilder28	175
13	Di_infiri	159
14	seramalen	128
14	Maenara	128
16	gcaisawesome	122
17	Nicserso	119
18	PeteO1995	114
19	SoftSix	108
20	Leyna3	103
21	groofles	99
22	ConnorDanky_	94
23	jnp_gaming	84
24	beeperbeeper5	83
24	platinumzero	83
26	Blackberry1310	71
27	Smoke____	69
28	Meatlaugh	62
29	ImpavidArcher	61
30	lillips	59
31	LeDuctTape	56
32	Euclidoris	54
33	HellsSponge	46
33	Spacewardharpy7	46
35	EcksD	45
36	TheDankPlatypus	44
37	Lekol	42
37	OffWithTheirHead	42
37	JasmineGK	42
40	Russiancat1	41
41	FreakGenius	39
42	PortlyPete69	37
43	Afinnity	36
44	Tyrannosplart	34
45	anbbang	30
46	Blaiku	29
47	thescout7	28
47	Kowcio_	28
49	thewindmillman	27
50	SyntheticSurgeon	25
51	SaucyDark	24
52	SaintJosie	22
53	Killercatty78	21
54	Frozil20	20
54	Fuad_R	20
56	selectrix	16
56	smogfrog	16
58	El_Jalapeno	15
59	Merv__	14
59	TheSecondLord	14
61	TheSeismicDuck	13
62	ShowRegent	12
62	Inchef	12
62	dragonstalker21	12
65	Hisiste	11
65	2bolx_	11
67	ThePoliteG	10
67	PigDab	10
67	audiocracked	10
70	Xclax101	7
70	RealGroot	7
70	Kubeusz2010	7
73	EMC_	6
73	XxCookiequeenxX	6
73	YungMaki	6
73	GlitchyPlate810	6
77	Cowison	5
77	NieToksikpl	5
77	Avrelion	5
80	Sleek_Storm_721	4
80	Werbe	4
80	Legendosh	4
83	500am	3
83	Skippeh	3
85	Nekowu	2
85	ITDV	2
85	tramizu	2
85	set67	2
85	ROY4LE	2
85	r123moore	2
85	Snowflowe	2
85	MyNameIsDakar	2
85	Kura2218	2
85	UCP_TheKingK	2
85	stellarjay	2
85	KingMatthew506	2
97	fanofbands101	1
97	tuckerdoodle	1
97	CoffeeNoir	1
97	12Magner05	1
97	Scathra	1
97	SellyZ	1
97	Chromary	1
97	Donutt	1
97	Skylord_Luke	1
97	The11thDoctor	1
97	Mattesco	1
97	Luminad3	1
97	IamCL4SSY	1
97	Akoot_	1
97	Deathkob	1
97	JESS_THE_RERE	1
97	Shogunite	1
97	fluddd	1
97	Kyrum2169	1
97	__tomato	1
97	Deguns123	1
