rank	username	minecraft:dropped/minecraft:diamond_helmet
1	Hyp3rion_	71
2	eitanzaki	37
3	EcksD	25
4	rarrq	21
5	FreakGenius	19
6	noam464	18
7	Di_infiri	17
7	Jackattack53	17
7	djancak	17
10	Frozil20	16
10	TheSecondLord	16
12	sheherhers	15
12	jnp_gaming	15
14	kekhon	14
14	mwrty	14
14	Werbe	14
14	Blaiku	14
14	xzvu	14
19	Blackberry1310	13
19	Smussa	13
21	ImpavidArcher	12
21	joethahobo	12
21	Akoot_	12
21	Tyrannosplart	12
21	Groundler	12
21	monky_irl	12
21	ConnorDanky_	12
28	Kyrum2169	11
29	PhantomsGhost_	10
29	T045RTY	10
29	Euclidoris	10
29	Blu3beast	10
29	Racengan	10
34	MattieHD	9
34	gabriels543	9
34	YungMaki	9
37	H0UNDFRMH3LL	8
37	SmashingPump	8
37	SaucyDark	8
37	_Dean_123	8
37	mimbo1211	8
37	GlitchyPlate810	8
43	Shogunite	7
43	censorsheep	7
45	MinttyFressh	6
45	CyrusIsTired	6
45	Ecplosive	6
45	WET_WET_WET	6
45	Arceus1975	6
45	The11thDoctor	6
45	IamCL4SSY	6
45	RealGroot	6
45	gusstationwerker	6
45	cichy096	6
45	bladeefan2009	6
56	EMC_	5
56	titanlax	5
56	Z3braYTIL	5
56	Kkanot	5
56	set67	5
56	ItsRyanM8	5
56	gcaisawesome	5
56	CollinMH06	5
56	Mattesco	5
56	Gryglu583	5
56	weabis	5
56	MightyWertu	5
56	__Auspicious	5
56	Soplight	5
56	FelixPSY375	5
56	TechnoNinja64	5
72	Groovy_MoonBird	4
72	fanofbands101	4
72	DinoDoctor_	4
72	Incinere	4
72	Alteriity	4
72	Mahoose	4
72	FirsTimeGamingTV	4
72	emrekn	4
72	Marbz_	4
72	Bumpy419	4
72	Afinnity	4
72	groofles	4
72	Inbefour	4
72	lillips	4
72	DarlaMeow	4
72	Fuad_R	4
72	claivin	4
72	Kura2218	4
72	__tomato	4
72	Nicserso	4
92	CloroxBleach385	3
92	PazinGaming	3
92	diamondgolem35	3
92	Killercatty78	3
92	Huwulling	3
92	InfernalMound	3
92	_Nuf	3
92	Fullut	3
92	boog4loo	3
92	thescout7	3
92	Mewar	3
92	SuperPooch06	3
92	hanaryheatwave	3
92	GreedyFern8581	3
92	Skylord_Luke	3
92	Lord_Jord	3
92	yulgur1	3
92	masskedman	3
92	luseis	3
92	MyNameIsDakar	3
92	Soap_Bender	3
92	shrimp_flips	3
92	Nycteus_	3
92	Spacewardharpy7	3
92	geekbird	3
92	Kowcio_	3
92	SammiWolfGirl	3
92	ProbsNotNova	3
92	jcool7	3
92	LeeMcGee30	3
92	Kubeusz2010	3
92	Sral7	3
124	Krasnal1337	2
124	Bandito_Roamer	2
124	_Virify_	2
124	heysushii	2
124	Froste131	2
124	ProbablyNick	2
124	hollowww	2
124	Merv__	2
124	teslawolf38	2
124	I_Am_Mushkin	2
124	GarthWiest	2
124	LeDuctTape	2
124	Bad_At_Names_Guy	2
124	_Razaria	2
124	ThiccExotic	2
124	beeperbeeper5	2
124	JuuustYeet	2
124	Comma__	2
124	Nicky_H225	2
124	Secret_Canary	2
124	eclipseboi	2
124	Yirtle	2
124	fade_emerge78823	2
124	Inchef	2
124	intropass	2
124	NotKaden_	2
124	Touched_Bread	2
124	XboxPanda	2
124	ImDisconnected_	2
124	Chromary	2
124	0Vyp_	2
124	DAD_1996	2
124	CaptainDeadBread	2
124	ApophisNova	2
124	F_Uhre	2
124	AlexxO_o	2
124	TheShyPig	2
124	zToasty69z	2
124	Luminad3	2
124	sxc_	2
124	TheCordicus	2
124	JESS_THE_RERE	2
124	OverallConcept	2
124	HellsSponge	2
124	fluddd	2
124	RedcatVII	2
124	THEKINGLyric10	2
124	Hisiste	2
124	lordpipe	2
124	Bonzaidalek	2
124	IAmTheWalrus910	2
124	OG_Songsee	2
124	ayamefag	2
124	Eraxa	2
124	CalebDHawk	2
124	Hermanni__	2
124	ZoomieZoomie	2
124	laron58	2
124	Skippeh	2
124	OfficerAnvil	2
124	Ezekson	2
124	MyNamaSheff	2
124	Enderxz3	2
124	Legendosh	2
124	vandmanden	2
124	Wanjibon	2
124	h2p_emrld	2
124	00000000-0000-0000-0009-01f9013b764e	2
192	HiveSkins	1
192	pintsizedrogue	1
192	HBA00_	1
192	peachfuzz1267	1
192	JohnnyFyes	1
192	FazeObama69	1
192	_Huge_Male_	1
192	Harotio	1
192	Ninzyyy	1
192	dudcreeper	1
192	CadenSteele	1
192	Ev0luti0nz	1
192	AuroraValkyrie	1
192	jessemgaming	1
192	bigstankyy	1
192	gren_ben	1
192	BlancoFlaco	1
192	hm947	1
192	Isaac70096	1
192	Furiuosbeast0404	1
192	Wooptey	1
192	SyntheticSurgeon	1
192	Batman922	1
192	DrogV2	1
192	ShedJr_	1
192	Lez_	1
192	jessewegottacook	1
192	fr0stss	1
192	Historical_Sand	1
192	blevster	1
192	gaziter10	1
192	nocturne78	1
192	speenduhXD	1
192	heckface	1
192	Valoth	1
192	prelutrinae	1
192	Gooberkid223	1
192	Frxnkz	1
192	Crowman1	1
192	Auseawesome	1
192	Cryptacity	1
192	jacxhadow	1
192	Jakobo1337	1
192	cubecutter124	1
192	TheThomas69	1
192	noodlepack	1
