rank	username	minecraft:dropped/minecraft:hopper
1	noam464	9794
2	thewindmillman	5464
3	eitanzaki	2394
4	EcksD	2044
5	Spacewardharpy7	1689
6	Blaiku	764
7	PigDab	614
8	thescout7	547
9	Werbe	469
10	Di_infiri	356
11	Spenduh	344
12	fffMike	217
13	Hyp3rion_	192
14	Wooptey	174
15	Ezekson	172
16	kinas45y5	159
17	emrekn	153
18	_Dean_123	136
19	sebastiensaborio	115
20	kekhon	106
21	AuroraValkyrie	102
22	YungMaki	96
23	ProfessorBee	83
24	EMC_	81
25	Mr_Byzantine	78
26	_Nuf	75
27	HellsSponge	66
28	Sky_light_KING	64
29	TheThomas69	60
30	Jackattack53	59
30	Akoot_	59
32	TechnoNinja64	54
33	fred870d	45
34	obzii	43
35	SteveCraftBlocks	42
35	PuFY	42
37	JEWISHBadenBeele	39
38	ImpavidArcher	38
38	Jordan_R	38
40	lillips	35
41	Dedalus36	34
41	Freak_Genius	34
43	mwrty	33
43	MightyWertu	33
45	anbbang	30
46	egglapras	28
46	Kowcio_	28
48	jnp_gaming	24
49	07shiny	23
50	Smoke____	22
51	Lord_Jord	21
52	Arceus1975	19
52	Blu3beast	19
52	Groundler	19
52	jcool7	19
56	sp00ky_ghost977	17
56	SammiWolfGirl	17
56	Powowowow	17
59	Drlzyy	16
59	T045RTY	16
59	r123moore	16
62	lordpipe	15
63	xxPipperDipperxx	14
63	__tomato	14
63	GlitchyPlate810	14
66	KG1999	13
66	MilleGrug	13
68	Zythose	12
69	beeperbeeper5	11
69	Racengan	11
69	Zoeyfortnite	11
69	EcksDofficial	11
73	diamondgolem35	10
73	Jahara	10
73	Mahoose	10
73	Frozil12	10
73	Hisiste	10
78	TheOuterCore	8
79	Frxnkz	7
79	eviltunix	7
79	tyraxxx	7
79	JESS_THE_RERE	7
79	Strangemonkey71	7
79	Nicserso	7
85	Merv__	6
85	ssleepless	6
85	Inchef	6
85	Leyna3	6
85	NomadicRobin_	6
85	_TCARREIRA_	6
85	laron58	6
85	WYFYoyo	6
93	pintsizedrogue	5
93	XboxPanda	5
93	Eraxa	5
93	oxfordschool	5
97	oreee	4
97	BigMoneyH	4
97	MyNameIsJobo	4
97	Hiryu27	4
97	k1ngGilgamesh	4
97	Optiprimus	4
97	MeetTheWollo	4
104	ShedJr_	3
104	rarrq	3
104	Fullut	3
104	loveseeker	3
104	chipklip	3
104	_czarny	3
104	Kferno	3
111	Blackberry1310	2
111	m_be9	2
111	Nach0Bear	2
111	Motsaro	2
111	PegLegPete93	2
111	UncleDanDan	2
111	M_Patata	2
111	_Cloverbelle_	2
111	Drewen24	2
111	Inbefour	2
111	DanTheBuilderino	2
111	EfficientC52	2
111	censorsheep	2
111	fluddd	2
111	silverpopcorn	2
111	Warlord324	2
111	Factoroni	2
111	monky_irl	2
111	MasterNueve	2
111	CheifJumbo	2
111	WyngGoy	2
111	Kyrum2169	2
111	ediballbearings	2
111	stahouo	2
111	UrbanPlanner1978	2
111	2blox	2
111	JayToe	2
111	FishisTTV	2
139	_Virify_	1
139	Cowison	1
139	dabloons	1
139	teslawolf38	1
139	I_Am_Mushkin	1
139	joethahobo	1
139	Ssor69	1
139	Comma__	1
139	Nicky_H225	1
139	boog4loo	1
139	Awyrlas	1
139	Mariopreeet	1
139	benediktine1	1
139	Marbz_	1
139	valiSW	1
139	whoaluv	1
139	ooga47	1
139	cedric72	1
139	The_Quack_Dealer	1
139	YungWali	1
139	DemTechAlpha	1
139	ebanana	1
139	The_slideV3	1
139	MustaLoordi	1
139	El_Jalapeno	1
139	GravitySaint	1
139	Barlycorn	1
139	ProbsNotNova	1
139	Sheldor097	1
139	Hermanni__	1
139	Skippeh	1
139	Quotary	1
139	HesDemonPants	1
139	PlasticOtari	1
139	Sral7	1
