rank	username	minecraft:dropped/minecraft:pointed_dripstone
1	noam464	20850
2	calamariclam_I	6598
3	EcksD	4447
4	Fuad_R	3413
5	beeperbeeper5	1078
6	500am	767
7	Snowflowe	124
8	Lord_Zacler	97
9	Spenduh	72
10	Hyp3rion_	71
11	xxPipperDipperxx	64
12	MAns_44	63
12	Smoke____	63
14	Jackattack53	62
15	00000000-0000-0000-0009-01ff0c3e5e4f	55
16	Silvo614	42
16	AlexxO_o	42
18	TheSecondLord	31
19	Mahoose	30
20	fade_emerge78823	29
21	Solar_Power	27
22	itburb	24
23	MilleGrug	17
24	Chickenchaser2	16
24	thewindmillman	16
26	Prismyst	15
26	PhantomBionic	15
28	athereall	14
29	Mattesco	13
30	AuroraSkies	11
31	Jiminie	10
31	Kowcio_	10
31	Segotep999	10
34	Winklepicker279	9
34	groofles	9
34	Spacewardharpy7	9
34	IdeallyGrey	9
38	EMC_	6
39	Drlzyy	4
39	Inchef	4
39	MyNameIsDakar	4
42	Ev0luti0nz	3
42	ccwildfire1	3
42	Jonafrog99	3
42	mihimihimihi	3
46	Flores991	2
46	corvidpartyfor6	2
46	Ithaca_GC	2
46	TheDankPlatypus	2
46	LeGold	2
46	Luminad3	2
46	Klerick	2
46	Steelynan	2
54	_stets	1
54	Frozil20	1
54	DinoDoctor_	1
54	ImpavidArcher	1
54	Alteriity	1
54	CoffeeNoir	1
54	Marbz_	1
54	JitteryJared2	1
54	SvenskaAlvar	1
54	TJawesome09	1
54	MrQuanQuan	1
54	EtherealEspresso	1
54	Enderslayerxz3	1
