rank	username	minecraft:dropped/minecraft:pointed_dripstone
1	noam464	20868
2	calamariclam_I	6598
3	EcksD	4448
4	Fuad_R	3413
5	beeperbeeper5	1078
6	500am	767
7	Snowflowe	124
8	Lord_Zacler	97
9	00000000-0000-0000-0009-01ff0c3e5e4f	73
10	Spenduh	72
11	Hyp3rion_	71
12	xxPipperDipperxx	64
13	MAns_44	63
13	Smoke____	63
15	Jackattack53	62
16	AlexxO_o	43
17	Silvo614	42
18	TheSecondLord	38
19	Mahoose	30
20	fade_emerge78823	29
21	Solar_Power	27
22	Mattesco	26
23	itburb	24
24	Jiminie	18
25	MilleGrug	17
26	Chickenchaser2	16
26	thewindmillman	16
28	Prismyst	15
28	PhantomBionic	15
30	athereall	14
31	AuroraSkies	11
32	Kowcio_	10
32	Segotep999	10
34	Winklepicker279	9
34	groofles	9
34	Spacewardharpy7	9
34	IdeallyGrey	9
38	EMC_	6
39	Drlzyy	4
39	QuiCreans	4
39	Inchef	4
39	MyNameIsDakar	4
43	Ev0luti0nz	3
43	ccwildfire1	3
43	Jonafrog99	3
43	mihimihimihi	3
47	Flores991	2
47	corvidpartyfor6	2
47	Ithaca_GC	2
47	TheDankPlatypus	2
47	LeGold	2
47	Luminad3	2
47	Klerick	2
47	Steelynan	2
55	_stets	1
55	Frozil20	1
55	DinoDoctor_	1
55	ImpavidArcher	1
55	Alteriity	1
55	CoffeeNoir	1
55	Marbz_	1
55	JitteryJared2	1
55	SvenskaAlvar	1
55	TJawesome09	1
55	MrQuanQuan	1
55	EtherealEspresso	1
55	Enderslayerxz3	1
