rank	username	minecraft:dropped/minecraft:netherite_boots
1	500am	28
2	T045RTY	17
3	eitanzaki	8
4	rarrq	7
5	kekhon	6
5	oxfordschool	6
7	Historical_Sand	5
7	fred870d	5
7	Akoot_	5
7	Wowful	5
7	Freak_Genius	5
7	Frozil12	5
7	Ezekson	5
14	pintsizedrogue	4
14	joethahobo	4
14	Hyp3rion_	4
14	Rebytre	4
14	Blaiku	4
14	Smoke____	4
20	Mahoose	3
20	lillips	3
20	fffMike	3
20	Eczbek	3
20	Enderslayerxz3	3
25	_NieToksikpl_	2
25	JEWISHBadenBeele	2
25	Upstro10	2
25	TheSecondLord	2
25	Fullut	2
25	Smashic	2
25	Xalithia	2
25	NomadicRobin_	2
25	SkateboardR6	2
25	BruhBag	2
25	Kowcio_	2
25	YungMaki	2
25	aywri	2
25	Segotep999	2
39	JohnnyFyes	1
39	Flegneh	1
39	KarlKaek	1
39	Nesquiczek	1
39	Dedalus36	1
39	Wooptey	1
39	CoffeeNoir	1
39	NinjaKnifeKill	1
39	beeperbeeper5	1
39	Blackberry1310	1
39	Auseawesome	1
39	Nicky_H225	1
39	CyrusIsTired	1
39	Kkanot	1
39	set67	1
39	egglapras	1
39	noam464	1
39	M_Patata	1
39	Jackattack53	1
39	Arceus1975	1
39	happy_mileo	1
39	thewindmillman	1
39	Skylord_Luke	1
39	ApophisNova	1
39	Werbe	1
39	Mattesco	1
39	PigDab	1
39	FishyBoy3811	1
39	PuFY	1
39	fw3xywashere	1
39	masskedman	1
39	LexMakesHistory	1
39	DarlaMeow	1
39	HellsSponge	1
39	Quaintster	1
39	Racengan	1
39	Spacewardharpy7	1
39	lordpipe	1
39	monky_irl	1
39	MakeHistory157	1
39	Eraxa	1
39	djancak	1
39	_Yonk_	1
39	GlitchyPlate810	1
39	jcool7	1
39	MilleGrug	1
39	TheOuterCore	1
39	MyNamaSheff	1
39	Weepingbiel	1
39	jnp_gaming	1
39	FishisTTV	1
39	00000000-0000-0000-0009-01f898304150	1
