rank	username	minecraft:dropped/minecraft:leather_chestplate
1	thewindmillman	42
2	joethahobo	28
2	oxfordschool	28
2	EcksD	28
5	RebelAndroid	26
6	kekhon	25
7	beeperbeeper5	21
7	Blackberry1310	21
7	Freak_Genius	21
10	TheSecondLord	20
10	lordpipe	20
12	_Virify_	19
12	Mahoose	19
14	Kowcio_	18
14	Ezekson	18
16	Werbe	17
16	Spacewardharpy7	17
18	Kakolbus	16
18	PigDab	16
20	Fullut	15
20	noam464	15
20	Di_infiri	15
23	eitanzaki	14
23	YungMaki	14
25	StinkyDiplomat	13
25	monky_irl	13
25	Eraxa	13
28	Zythose	12
28	EveryonesUncle	12
28	Blaiku	12
31	pintsizedrogue	11
31	HellsSponge	11
31	Deerfoot	11
31	Smoke____	11
35	Akoot_	10
35	Miko_Fullbuster	10
37	EMC_	9
37	Chromary	9
37	Lord_Jord	9
37	chipklip	9
37	Xclax101	9
37	Segotep999	9
43	Smashic	8
43	El_Jalapeno	8
43	censorsheep	8
43	Frozil12	8
43	Soplight	8
43	Steelynan	8
49	teslawolf38	7
49	fr0stss	7
49	xxPipperDipperxx	7
49	ooga47	7
49	masskedman	7
49	Hisiste	7
49	djancak	7
49	Kubeusz2010	7
49	Skippeh	7
49	jnp_gaming	7
59	12Magner05	6
59	Snowflowe	6
59	selectrix	6
59	sp00ky_ghost977	6
59	Enderslayerxz3	6
59	PlasticOtari	6
65	I_Am_Mushkin	5
65	H72l9w	5
65	SteveCraftBlocks	5
65	platinumzero	5
65	Winklepicker279	5
65	fr_ser	5
65	Deathkob	5
65	claivin	5
65	Kyrum2169	5
65	GlitchyPlate810	5
65	Njensen7	5
65	kinas45y5	5
77	MunkaKris	4
77	BlancoFlaco	4
77	T045RTY	4
77	CoffeeNoir	4
77	mwrty	4
77	IforgotCS_Source	4
77	fade_emerge78823	4
77	Mewar	4
77	eviltunix	4
77	gcaisawesome	4
77	XboxPanda	4
77	TableTim	4
77	Hyp3rion_	4
77	aec9	4
77	ogoa	4
77	NomadicRobin_	4
77	Nycteus_	4
77	marumochis	4
