rank	username	minecraft:dropped/minecraft:light_blue_banner
1	rarrq	37
2	Drlzyy	16
2	_Dean_123	16
4	Arceus1975	15
5	Lez_	12
5	12Magner05	12
7	kekhon	10
8	Mahoose	9
9	pintsizedrogue	8
9	beeperbeeper5	8
11	Steelynan	7
12	Enderslayerxz3	6
13	Huwulling	5
13	Jiminie	5
15	Akoot_	4
16	joethahobo	3
16	lillips	3
16	EcksD	3
19	diamondgolem35	2
19	ShedJr_	2
19	JoCoLi	2
19	carbo_bro	2
19	oxfordschool	2
24	CompAir	1
24	hm947	1
24	noam464	1
24	Snowflowe	1
24	_Boipl_	1
24	HellsSponge	1
24	Spacewardharpy7	1
24	stahouo	1
24	_TCARREIRA_	1
24	Ezekson	1
24	PlasticOtari	1
24	EcksDofficial	1
24	Smoke____	1
24	h2p_emrld	1
