rank	username	minecraft:dropped/minecraft:mangrove_leaves
1	Yamdalorian	4681
2	k_ce	595
3	Jackattack53	275
4	pixelviolin	252
5	_Huge_Male_	204
6	Touched_Bread	156
7	corvidpartyfor6	67
8	milltesco	65
9	pintsizedrogue	64
9	Fuad_R	64
11	Pumpkin_P_Patch	62
12	ECstardust	51
13	craaaash	50
14	_witch_craft_	44
15	Caribouse	36
16	PazinGaming	31
17	MyMawgDonaldsGon	17
18	NATE_the_HALO	16
19	beeperbeeper5	14
19	TheWickedBird	14
21	Mahoose	9
21	TheKingK_	9
23	MrKrabOnCoke	8
24	EMC_	7
24	Kowcio_	7
26	AlexxO_o	6
26	Enderxz3	6
28	Nicserso	5
29	Jimb0nat0r	4
30	12Magner05	3
30	Mattesco	3
32	shineh10	2
32	CaracolCxnt	2
32	U_Mos_	2
32	Spacewardharpy7	2
32	doublemaki	2
32	SpacesickPrism	2
38	j5ylim	1
38	SoosAmongus	1
38	noam464	1
38	Manaateee	1
