rank	username	minecraft:dropped/minecraft:stone_stairs
1	FreakGenius	568
2	EMC_	462
3	Werbe	402
4	Jackattack53	261
5	Soplight	256
6	beeperbeeper5	251
7	EveryonesUncle	204
8	Comma__	181
9	Mahoose	161
10	non089	152
11	lordpipe	135
12	Di_infiri	133
13	mihimihimihi	132
14	Jimb0nat0r	128
15	The_Quack_Dealer	84
16	TheSecondLord	81
17	Blackberry1310	70
18	ImpavidArcher	58
18	thewindmillman	58
20	diamondgolem35	52
20	PlasticOtari	52
22	burbankbuilder28	47
23	Blaiku	46
24	TheWildMateo	44
25	CalebDHawk	41
26	TheMilkerOfCats	40
26	anbbang	40
28	Uzbeki_John	39
29	Hyp3rion_	37
30	dudcreeper	32
30	luseis	32
32	SvenskaHugo	31
33	mattybeewrapss	27
34	Blu3beast	26
35	Noah_Bez	25
36	Skylord_Luke	24
36	IamCL4SSY	24
38	weabis	23
38	PortlyPete69	23
40	Frozil20	20
40	Soap_Bender	20
42	xolstoi	17
43	AshleeCW	16
43	kekhon	16
45	Smashic	15
45	UCP_TheKingK	15
47	dabloons	14
47	Xclax101	14
47	geekbird	14
47	Kowcio_	14
51	joethahobo	13
51	Cryptacity	13
51	Eraxa	13
54	Shiirazu	12
54	Soffbord	12
54	Nargotah	12
57	Wooptey	11
57	Lez_	11
57	Skippeh	11
60	Fuad_R	10
61	FishyBoy3811	8
62	SteveCraftBlocks	7
62	Fullut	7
62	noam464	7
62	NameGenerat0r	7
66	TildaAndrea	6
66	Prismyst	6
66	jnp_gaming	6
69	BlueZabu	5
69	the__Reaper4999	5
69	Smoke____	5
72	CoffeeNoir	4
72	rarrq	4
72	XboxPanda	4
72	Zythose	4
72	cedric72	4
72	MinuteMira	4
72	Tyrannosplart	4
72	Kyrum2169	4
72	jcool7	4
72	Njensen7	4
72	ConnorDanky_	4
83	bigstankyy	3
83	eitanzaki	3
83	Malorn_Aetherius	3
83	Ardennes	3
83	UncreativeArtist	3
83	KGTV	3
83	Inchef	3
83	eviltunix	3
83	Avrelion	3
83	Hiryu27	3
83	Onennon	3
83	SUN_DREAM	3
83	carbo_bro	3
83	Ezekson	3
83	EcksD	3
83	cichy096	3
99	soundad	2
99	T045RTY	2
99	Alteriity	2
99	ShedJr_	2
99	m_be9	2
99	_Dean_123	2
99	500am	2
99	sandmire	2
99	thescout7	2
99	IforgotCS_Source	2
99	fallingemma	2
99	SuperPooch06	2
99	jewbacaman	2
99	lizardfightclub	2
99	Maenara	2
99	Lord_Jord	2
99	AlphaWolfPlaysMC	2
99	Wowful	2
99	Karbl	2
99	Quaintster	2
99	Vorlice	2
99	Spacewardharpy7	2
99	Ze_BaronKrigler	2
99	sadvavilloso	2
99	BlankityMcBlank	2
99	Luigipunch989	2
99	Sheldor097	2
99	MilleGrug	2
99	Powowowow	2
99	Teebone15	2
129	Groovy_MoonBird	1
129	PhantomsGhost_	1
129	abramgray	1
129	Sleek_Storm_721	1
129	SaucyDark	1
129	Sabby65	1
129	H72l9w	1
129	Allanon1235	1
129	Ecplosive	1
129	wTXop	1
129	seramalen	1
129	AlexxO_o	1
129	Drewen24	1
129	OreoPenguin_	1
129	cog	1
129	RedcatVII	1
129	__Auspicious	1
129	Kura2218	1
129	ElectricDragon81	1
129	Poppy235	1
129	AltnumberF4	1
129	TechnoNinja64	1
