rank	username	minecraft:dropped/minecraft:dark_prismarine_slab
1	EcksD	240
2	eitanzaki	235
3	Blaiku	142
4	PigDab	140
5	gcaisawesome	123
6	rarrq	64
6	MightyWertu	64
8	beeperbeeper5	36
9	_Huge_Male_	34
10	12Magner05	26
11	Ezekson	20
12	Hyp3rion_	15
13	burbankbuilder28	13
14	Chromary	12
14	LeEricc	12
16	obzii	9
17	Eraxa	8
18	noam464	6
18	lordpipe	6
18	ConnorDanky_	6
21	Spacewardharpy7	3
21	Powowowow	3
23	ImpavidArcher	2
23	Fullut	2
23	mimbo1211	2
23	LeGold	2
27	Iagoku	1
27	kekhon	1
27	Syropatathe	1
27	ProbsNotNova	1
27	KingMatthew506	1
27	AdmiralSmoke	1
