rank	username	minecraft:dropped/minecraft:light_blue_carpet
1	noam464	532
2	Inbefour	400
3	Spacewardharpy7	343
4	eitanzaki	290
5	Lord_Jord	96
6	RebelAndroid	81
7	Blaiku	66
8	Segotep999	58
9	heckface	37
10	Bandito_Roamer	36
11	Smoke____	29
12	beeperbeeper5	22
13	TechnoNinja64	16
14	Ezekson	14
14	oxfordschool	14
16	Fullut	11
17	pZygh0st	8
17	kekhon	8
17	lordpipe	8
20	thewindmillman	7
21	Merv__	6
21	SSytex_X	6
23	12Magner05	5
23	CalebDHawk	5
25	Blackberry1310	4
26	LoboTheLobster	3
26	Quaintster	3
26	KingMatthew506	3
29	SaucyDark	2
29	ShedJr_	2
29	LeeMcGee30	2
29	PlasticOtari	2
33	joethahobo	1
33	KG1999	1
33	YungMaki	1
33	EcksD	1
