rank	username	minecraft:dropped/minecraft:dark_oak_button
1	Racengan	320
2	beeperbeeper5	98
3	HellsSponge	64
4	eitanzaki	49
5	lillips	43
6	500am	36
7	kekhon	28
8	Soplight	27
9	Sky_light_KING	21
10	Ssor69	18
11	thescout7	15
12	Bumpy419	9
12	lordpipe	9
14	EcksD	6
15	noam464	5
15	Optiprimus	5
15	EcksDofficial	5
18	SaucyDark	4
18	titanlax	4
18	Blackberry1310	4
18	PigDab	4
18	DTwenty	4
18	Blaiku	4
18	jcool7	4
18	xX_Stalin69_Xx	4
26	AshleeCW	3
26	EMC_	3
26	Di_infiri	3
26	Blu3beast	3
26	Kyrum2169	3
26	MilleGrug	3
32	pintsizedrogue	2
32	6king6colt6	2
32	ImpavidArcher	2
32	Avrelion	2
32	AJplaysMC_	2
32	AlphaWolfPlaysMC	2
32	Jiminie	2
32	sufjanlover	2
32	MakeHistory157	2
32	kinas45y5	2
32	Smoke____	2
43	PhantomsGhost_	1
43	Merv__	1
43	Sabby65	1
43	Mahoose	1
43	MSK__	1
43	Historical_Sand	1
43	ThePoliteG	1
43	benediktine1	1
43	M_Patata	1
43	SuperPooch06	1
43	fxiryglitch	1
43	claivin	1
43	Xclax101	1
43	SkateboardR6	1
43	MasterNueve	1
43	stahouo	1
43	Hermanni__	1
43	oxfordschool	1
43	FishisTTV	1
