rank	username	minecraft:dropped/minecraft:sugar
1	Spacewardharpy7	13048
2	Hyp3rion_	11053
3	noam464	8113
4	NomadicRobin_	5243
5	Lez_	2308
6	Fuad_R	1149
7	thewindmillman	890
8	PigDab	758
9	AdmiralSmoke	747
10	joethahobo	596
11	Smashic	516
12	Sral7	476
13	yheece	461
13	Akoot_	461
15	eitanzaki	430
16	HellsSponge	421
17	Segotep999	376
18	lillips	346
19	beeperbeeper5	324
20	lordpipe	306
21	Werbe	304
22	ApophisNova	302
22	MyNamaSheff	302
24	Soplight	287
25	Blaiku	242
26	kekhon	239
26	KingMatthew506	239
28	FishisTTV	236
29	Da_Boss_Rani	228
30	_Mythic____	209
31	Dogcorn69420	193
32	EcksD	184
33	PhantomsGhost_	182
34	ConnorDanky_	167
35	Mahoose	162
36	Zoeyfortnite	159
37	wTXop	128
37	__Auspicious	128
39	ThePoliteG	124
40	ECstardust	119
40	Nicserso	119
42	Groovy_MoonBird	117
43	Groundler	116
44	somegirl12_	113
45	MilleGrug	100
46	Lord_Jord	97
47	Jackattack53	94
48	Kowcio_	92
49	Incinere	91
50	Frozil20	81
51	12Magner05	73
52	Di_infiri	66
52	Quaintster	66
54	_Virify_	65
54	Luminad3	65
56	Sabby65	64
56	lorpus	64
56	CrateOfBoxes	64
56	fkGrim	64
56	obzii	64
56	fffMike	64
62	skrongus	62
63	SammiWolfGirl	60
64	stevewithclout	56
64	LeonelSalamanca	56
66	Blackberry1310	53
67	xzvu	51
68	Cocoamallows	48
69	2blox_	46
70	pintsizedrogue	43
70	k_ce	43
70	rarrq	43
73	SoosAmongus	42
73	AlexxO_o	42
75	shockdocta	40
76	EveryonesUncle	39
77	Killercatty78	37
77	hanaryheatwave	37
77	MineMaster0012	37
80	Marbz_	36
81	Xclax101	33
82	Arceus1975	29
82	SvenskaHugo	29
82	YungMaki	29
85	Ezekson	26
86	T045RTY	25
87	ElectricDragon81	24
88	RebelAndroid	22
89	SteveCraftBlocks	21
90	Saucepeh	20
90	olliebollie48	20
90	Blu3beast	20
90	vandmanden	20
94	_Bguette_	18
94	Racengan	18
96	LAVA129	17
96	MakeHistory157	17
98	MattieHD	16
99	BlancoFlaco	14
99	Winklepicker279	14
99	SuperPooch06	14
99	Eraxa	14
103	Tyrannosplart	13
103	CalebDHawk	13
105	Manaateee	12
105	NATE_the_HALO	12
107	_Huge_Male_	10
107	diamondgolem35	10
107	TheSecondLord	10
107	Candad_	10
107	Chromary	10
107	Skippeh	10
113	excelsionprime	9
113	set67	9
113	Luigipunch989	9
113	Legendosh	9
113	Jimb0nat0r	9
118	HoldThatPee	8
118	xDraggin	8
118	Enderxz3	8
121	Bandito_Roamer	7
121	NatalieTW	7
121	Alteriity	7
121	r123moore	7
121	UCP_TheKingK	7
121	Steelynan	7
127	PazinGaming	6
127	Fullut	6
127	Awyrlas	6
127	Quincannon	6
127	mihimihimihi	6
127	PlzNoBM	6
127	TechnoNinja64	6
134	Comma__	5
134	mwrty	5
134	ROY4LE	5
134	AuroraSkies	5
134	Hahaa_0	5
134	Inbefour	5
134	FreakGenius	5
134	MightyWertu	5
134	jcool7	5
134	jnp_gaming	5
144	dabloons	4
144	EMC_	4
144	Vizzoid	4
144	gcaisawesome	4
144	Krowuss	4
144	BronkerBrum	4
144	MinuteMira	4
144	DanTheBuilderino	4
144	StarCookiees_	4
153	6king6colt6	3
153	Sleek_Storm_721	3
153	I_Am_Mushkin	3
153	hm947	3
153	Simon_Lowell	3
153	YairZaki	3
153	jessewegottacook	3
153	fr0stss	3
153	Historical_Sand	3
153	Tiberonus	3
153	4774	3
153	xxPipperDipperxx	3
153	Bolete	3
153	jedi_george	3
153	Jonafrog99	3
153	oscminus	3
153	Skylord_Luke	3
153	The11thDoctor	3
153	thgrocks	3
153	GooseWithin	3
153	masskedman	3
153	luseis	3
153	Dakar_	3
153	Soap_Bender	3
153	claivin	3
153	WyngGoy	3
153	bloomkieren	3
153	Kyrum2169	3
153	Moetis	3
153	tartanboy	3
183	j5ylim	2
183	SaphLaseer	2
183	NotRemets	2
183	teslawolf38	2
183	Tommhh	2
