rank	username	minecraft:dropped/minecraft:spruce_trapdoor
1	Spacewardharpy7	12923
2	XboxPanda	923
3	TechnoNinja64	585
4	eitanzaki	493
5	Racengan	411
6	noam464	327
7	Malorn_Aetherius	266
8	kekhon	188
9	HellsSponge	185
10	Soplight	175
11	livingdaydreams	157
12	TheOuterCore	144
13	Merv__	143
14	Blaiku	134
15	ADEXTV	118
16	Ezekson	109
17	500am	101
18	KingMatthew506	99
19	Mahoose	97
20	Onennon	95
21	Werbe	93
21	AssEatrAndLicker	93
23	Kakolbus	92
24	burbankbuilder28	85
25	CalebDHawk	79
26	TheSecondLord	77
27	Akoot_	75
28	EveryonesUncle	70
29	thewindmillman	69
30	Uzbeki_John	66
31	fr0stss	64
32	sebastiensaborio	63
33	NatrixxddxYT	60
34	oxfordschool	48
35	Bumpy419	47
36	Inbefour	46
37	Incinere	43
37	jnp_gaming	43
39	lcvezra	42
40	fkGrim	41
41	KarlKaek	38
41	ImpavidArcher	38
41	Frozil12	38
44	Eraxa	37
45	Jackattack53	36
46	HolyVenom	34
46	Xclax101	34
48	jacxhadow	33
48	Deerfoot	33
50	Hermanni__	32
51	Smoke____	29
52	gabriels543	28
53	beeperbeeper5	27
54	Groundler	26
55	stahouo	25
56	FGamerJ	24
57	seanitoo	22
57	EcksD	22
59	YungJakobo	21
59	lillips	21
59	SvenskaHugo	21
62	Groovy_MoonBird	20
62	RodSerlingCringe	20
64	Chromary	19
65	ProfessorBee	18
65	MyNameIsJobo	18
67	rarrq	17
67	Freak_Genius	17
69	hm947	16
70	SquadMonster	15
70	Blackberry1310	15
70	Blu3beast	15
73	_Karmaa	14
74	diamondgolem35	13
74	Di_infiri	13
76	fallingemma	12
77	UncreativeArtist	11
77	xxPipperDipperxx	11
77	Arceus1975	11
77	Meatlaugh	11
77	JESS_THE_RERE	11
82	claivin	10
82	EfficientC52	10
82	El_Jalapeno	10
82	Legendosh	10
86	RobotMinion101	9
86	chipklip	9
86	lordpipe	9
89	Tommhh	8
89	set67	8
91	Cryptacity	7
91	SteveCraftBlocks	7
91	Skylord_Luke	7
91	Kowcio_	7
91	Nicserso	7
91	Powowowow	7
97	joethahobo	6
97	H72l9w	6
97	Inchef	6
97	fred870d	6
97	MonitorLizards	6
97	pixelviolin	6
97	ediballbearings	6
97	GlitchyPlate810	6
97	kinas45y5	6
106	Fullut	5
106	surfinggiraffejp	5
106	M_Patata	5
106	BlueZabu	5
106	TheShyPig	5
106	The_slideV3	5
106	MasterNueve	5
106	vandmanden	5
114	PhantomsGhost_	4
114	soundad	4
114	benediktine1	4
114	Rumpletaezer	4
114	regulator75	4
114	Shiirazuku	4
114	LexMakesHistory	4
114	MovingFish7	4
114	layabout100	4
114	_KuruKuru	4
124	_NieToksikpl_	3
124	Natty	3
124	MSK__	3
124	Historical_Sand	3
124	boog4loo	3
124	thescout7	3
124	egglapras	3
124	IforgotCS_Source	3
124	ogoa	3
124	_Bguette_	3
124	The_Quack_Dealer	3
124	SammiWolfGirl	3
124	obzii	3
124	Skippeh	3
124	Teebone15	3
124	trexgb	3
140	SaltineDream	2
140	pintsizedrogue	2
140	q_wq	2
140	AshleeCW	2
140	Bad_At_Names_Guy	2
140	Minimize501	2
140	T045RTY	2
140	LoboTheLobster	2
140	bloodbiter	2
140	Cortexia	2
140	Mewar	2
140	NotKaden_	2
140	CollinMH06	2
140	fr_ser	2
140	_Boipl_	2
140	CTH_98	2
140	DC_XII	2
140	Rasmanden	2
140	TheTrueClipse	2
140	KevinLikesPie	2
140	MyNameIsDakar	2
140	Soap_Bender	2
140	fluddd	2
140	Dusk_95	2
140	ElectricDragon81	2
140	CSG_Haru	2
140	ayamefag	2
140	Soul_Atreus	2
140	Sank34	2
140	alkrie	2
140	__tomato	2
140	alderban107	2
140	AltnumberF4	2
140	Enderslayerxz3	2
140	EcksDofficial	2
140	CrazyPotater	2
176	ItsColin11	1
176	DepressedCubic	1
176	6king6colt6	1
176	Franco093	1
176	ivorico	1
176	ChampPog_	1
176	Auseawesome	1
176	_Dean_123	1
176	Kamflame10	1
176	paranoid_plant	1
176	Awyrlas	1
176	Irko	1
176	Candad_	1
176	Xalithia	1
176	2Stout	1
176	r123moore	1
176	Dyosy	1
176	vampgey	1
176	SuperPooch06	1
176	whoaluv	1
176	Zythose	1
176	Hoid_the_Roamer	1
176	Rebytre	1
176	Kynigito	1
176	_Cloverbelle_	1
176	Jonte0599	1
176	OtariCharlie	1
176	thgrocks	1
176	PuFY	1
176	ClemenPine	1
176	Hail_the_wombat	1
176	dezxalo	1
176	Jiminbub	1
176	Jiminie	1
176	drumine	1
176	DarlaMeow	1
176	NameGenerat0r	1
176	MAns_44	1
176	MustaLoordi	1
176	GravitySaint	1
176	RedcatVII	1
176	IAmTheWalrus910	1
176	IdeallyGrey	1
176	YungMaki	1
176	Spenduh	1
176	Nekomin0	1
176	fffMike	1
176	anbbang	1
176	MeetTheWollo	1
