rank	username	minecraft:dropped/minecraft:obsidian
1	thewindmillman	242965
2	noam464	40438
3	Hyp3rion_	29457
4	Frozil20	28268
5	joethahobo	6709
6	eitanzaki	3946
7	EcksD	3462
8	lordpipe	3102
9	Blaiku	2174
10	Smashic	2021
11	mwrty	1954
12	Di_infiri	1906
13	PigDab	1890
14	TechnoNinja64	1808
15	YxEmanxY	1728
16	Jackattack53	1658
17	Ezekson	1181
18	fw3xy74	1156
19	Spacewardharpy7	1057
20	AdmiralSmoke	669
21	Segotep999	617
22	beeperbeeper5	517
23	Marbz_	512
24	Kowcio_	483
25	MilleGrug	417
26	Eraxa	405
27	shadowthemonkey	380
28	YungMaki	371
29	Mahoose	363
30	lillips	347
31	Tyrannosplart	339
32	Blu3beast	328
33	Blackberry1310	322
34	Iamthejo	314
35	gcaisawesome	311
36	Rebytre	309
37	Werbe	291
38	Groundler	283
38	Skippeh	283
40	500am	276
40	intropass	276
42	mihimihimihi	273
43	XboxPanda	265
44	Racengan	264
45	Inbefour	261
46	FreakGenius	255
47	sadvavilloso	248
48	pintsizedrogue	241
49	kekhon	233
50	rarrq	227
51	thescout7	216
51	_i_ERROR_i_	216
53	jnp_gaming	214
54	Fullut	210
55	Tobinator_007	207
56	Wooptey	206
57	yulgur1	204
58	HiveSkins	198
59	layabout100	190
60	SammiWolfGirl	186
61	_Mythic____	185
62	HellsSponge	173
63	xzvu	154
64	Spenduh	151
65	ECstardust	150
66	Akoot_	147
67	Nicserso	143
68	Quaintster	141
69	Xalithia	140
70	NomadicRobin_	134
71	CLG_Kata	131
72	Shogunite	129
72	Njensen7	129
74	Awyrlas	128
75	Aryamanee	127
75	skrongus	127
77	Crowman1	122
78	ImpavidArcher	109
79	LeonelSalamanca	108
80	Nycteus_	104
81	ConnorDanky_	102
82	MakeHistory157	101
83	Onennon	97
84	WET_WET_WET	95
85	KliBeast21	90
86	_Virify_	89
87	Lez_	83
87	_lildarki3	83
89	Hermanni__	79
90	luseis	77
91	FelixPSY375	73
92	Skylord_Luke	71
92	trexgb	71
94	T045RTY	70
95	6king6colt6	67
95	xxPipperDipperxx	67
97	Deathkob	65
97	MineMaster0012	65
99	CyL0_	64
99	burbankbuilder28	64
99	wTXop	64
99	ItsDeltaMC	64
103	stavgod	62
103	alderban107	62
105	PlasticOtari	61
106	Zythose	59
106	Razzgriz	59
108	k1ngGilgamesh	57
109	set67	54
110	SaucyDark	48
110	MoistMicrowave	48
112	h2p_emrld	47
113	MattieHD	46
114	CoffeeNoir	44
114	HAIRYCLOUD626	44
116	Z3braYTIL	43
