rank	username	minecraft:dropped/minecraft:magenta_wool
1	thewindmillman	263563
2	noam464	103581
3	EcksD	18291
4	HellsSponge	16246
5	PhantomsGhost_	1728
6	Hyp3rion_	1391
7	eitanzaki	863
8	Hermanni__	576
9	beeperbeeper5	269
10	lordpipe	259
11	joethahobo	194
12	Blaiku	190
13	Lez_	161
14	AdmiralSmoke	123
15	Fullut	78
16	ConnorDanky_	74
17	YungMaki	73
18	Legendosh	66
19	PigDab	65
20	Huwulling	64
20	fr_ser	64
20	MeanTugger	64
20	Shogunite	64
20	xolstoi	64
25	Afinnity	48
26	Werbe	45
27	Rumpletaezer	41
28	KingMatthew506	20
29	heckface	14
30	TechnoNinja64	12
31	Archsam	11
31	Di_infiri	11
33	Lunkuku	10
34	PazinGaming	9
34	Blackberry1310	9
36	mwrty	8
36	SammiWolfGirl	8
38	Frozil20	7
39	Historical_Sand	5
39	Mattesco	5
39	Spacewardharpy7	5
39	Eraxa	5
43	500am	4
43	Dakar_	4
45	TheSecondLord	3
45	Jackattack53	3
45	NomadicRobin_	3
45	SpacesickPrism	3
45	alderban107	3
50	Mahoose	2
50	SquadMonster	2
50	xxPipperDipperxx	2
50	StarCookiees_	2
50	djancak	2
50	Ezekson	2
50	UrbanPlanningEx	2
57	BPTY4618	1
57	Wooptey	1
57	gaziter10	1
57	kekhon	1
57	AJplaysMC_	1
57	Bumpy419	1
57	luseis	1
57	Manaateee	1
57	Kowcio_	1
57	UCP_TheKingK	1
57	_i_ERROR_i_	1
57	Quotary	1
