rank	username	minecraft:dropped/minecraft:cyan_stained_glass
1	Hyp3rion_	132394
2	hanaryheatwave	12103
3	Ezekson	2653
4	Jackattack53	241
5	lordpipe	192
6	ConnorDanky_	186
7	beeperbeeper5	175
8	emreknugrlu	128
9	mihimihimihi	125
10	luseis	122
11	Mahoose	100
12	joethahobo	81
13	Jimb0nat0r	55
14	Yamdalorian	44
15	Diavri	43
16	CattSoup	39
17	Merv__	24
18	eclipseboi	22
19	Di_infiri	12
20	fluddd	11
21	heckface	10
22	Krowuss	8
22	Blaiku	8
24	noam464	5
25	Alteriity	4
25	KingMatthew506	4
27	pintsizedrogue	3
27	ImpavidArcher	3
27	RobotMinion101	3
30	j5ylim	2
30	Fullut	2
30	thewindmillman	2
30	EngagedGrub41	2
30	TechnoNinja64	2
30	skitzxo	2
36	Blu3beast	1
36	Kowcio_	1
36	elliebelle107	1
36	The_SlideV5	1
