rank	username	minecraft:dropped/minecraft:egg
1	Spacewardharpy7	5612
2	H72l9w	4061
3	Blaiku	3088
4	TechnoNinja64	2764
5	joethahobo	2457
6	Arceus1975	2408
7	Hisiste	2118
8	Smashic	2101
9	thewindmillman	1660
10	_Boipl_	1443
11	Di_infiri	1135
12	FreakGenius	1021
13	CarltheCuck	963
14	Groovy_MoonBird	959
15	Werbe	906
16	eitanzaki	787
17	Mahoose	785
18	Rich_Kat	724
19	WyngGoy	681
20	Snowflowe	655
21	mwrty	640
22	Frozil20	576
23	noam464	561
24	starbits140	542
25	HellsSponge	527
26	beeperbeeper5	472
27	Lez_	445
28	carpet4_69	435
29	xxPipperDipperxx	399
29	Akoot_	399
31	Jackattack53	370
32	PhantomsGhost_	297
33	alderban107	292
34	vampgey	279
35	bladeefan2009	276
36	Blackberry1310	275
37	Zoeyfortnite	273
38	SammiWolfGirl	263
39	SpacesickPrism	261
40	lordpipe	259
41	claivin	254
42	slkiey	240
43	luseis	239
44	Comma__	232
45	F_Uhre	225
46	non089	218
47	fluddd	217
48	xzvu	216
49	mihimihimihi	211
50	Fullut	210
51	thescout7	209
52	WET_WET_WET	192
52	PuFY	192
54	jcool7	187
55	Rebytre	186
56	SquadMonster	183
56	OfficerAnvil	183
58	lcvezra	181
59	Hyp3rion_	169
60	Bandito_Roamer	152
61	Blu3beast	146
62	gcaisawesome	140
62	Powowowow	140
64	PazinGaming	135
65	EkkoTraveler	128
66	Euclidoris	122
67	DanTheBuilderino	121
68	Historical_Sand	119
68	Bumpy419	119
70	LeeMcGee30	117
71	kekhon	113
72	Marbz_	112
73	SteveCraftBlocks	111
74	StinkyDiplomat	107
75	ediballbearings	105
76	m_be9	104
76	KermitTheKripple	104
78	hanaryheatwave	103
79	ougstur	99
80	PlasticOtari	96
81	PigDab	94
81	djancak	94
83	Jimb0nat0r	93
84	KingMatthew506	90
85	Kowcio_	85
85	ConnorDanky_	85
87	Skylord_Luke	80
88	Ezekson	76
89	Smoke____	73
90	Mythic1130	72
91	Killercatty78	71
92	ImNotYuqii	70
93	Hermanni__	68
94	Soplight	67
