rank	username	minecraft:dropped/minecraft:diamond_sword
1	mimbo1211	479
2	Di_infiri	129
3	Akoot_	90
4	Hyp3rion_	78
5	beeperbeeper5	75
6	xzvu	74
7	noam464	71
8	kekhon	70
9	Werbe	69
10	eitanzaki	67
11	_Dean_123	61
12	skrongus	58
13	ConnorDanky_	56
14	The_Cruncy	51
15	sheherhers	49
16	gaziter10	48
17	bigstankyy	46
18	6king6colt6	45
18	Kura2218	45
18	__tomato	45
21	Blu3beast	44
22	thescout7	42
22	himak1	42
24	Racengan	41
25	ImpavidArcher	40
25	EcksD	40
27	ediballbearings	39
28	Tyrannosplart	38
29	Hermanni__	36
30	ImDisconnected_	35
30	PortlyPete69	35
30	Ezekson	35
33	Groovy_MoonBird	34
34	TheSecondLord	32
35	Frozil20	31
35	oscminus	31
35	Maenara	31
35	claivin	31
39	rarrq	29
39	Blackberry1310	29
39	_3Stump_	29
39	KingMatthew506	29
39	h2p_emrld	29
44	hollowww	28
44	Groundler	28
46	Blaiku	27
46	Kferno	27
46	TechnoNinja64	27
49	T045RTY	26
49	Kyrum2169	26
51	Rebytre	25
52	SkateboardR6	24
53	Comma__	23
54	fr_ser	22
54	SammiWolfGirl	22
56	MyNameIsJobo	21
56	F_Uhre	21
56	Ze_BaronKrigler	21
59	XboxPanda	20
59	yheece	20
59	Luminad3	20
59	Lord_Jord	20
59	the__Reaper4999	20
59	monky_irl	20
59	MakeHistory157	20
59	xolstoi	20
67	MovingFish7	19
67	YungMaki	19
69	TheShyPig	18
69	WyngGoy	18
71	Hpdinosaur	17
71	Spenduh	17
71	LeeMcGee30	17
74	Fullut	16
74	TheWildMateo	16
74	thgrocks	16
74	SaintJosie	16
74	Syropatathe	16
74	laron58	16
80	DinoDoctor_	15
80	Dali1465	15
80	gcaisawesome	15
80	WET_WET_WET	15
80	Hiryu27	15
80	epiksk8erduck	15
80	Warlord324	15
80	jnp_gaming	15
80	Sral7	15
89	ShedJr_	14
89	jessewegottacook	14
89	Historical_Sand	14
89	mwrty	14
89	TheTrueClipse	14
89	censorsheep	14
89	ayamefag	14
89	djancak	14
89	lcvezra	14
89	cichy096	14
99	KarlKaek	13
99	bloodbiter	13
99	ROY4LE	13
99	Corbsman	13
99	HellsSponge	13
99	MightyWertu	13
99	anbbang	13
99	little_dUki	13
99	HesDemonPants	13
108	I_Am_Mushkin	12
108	Whiterooster001	12
108	Vizzoid	12
108	Eraxa	12
108	Dogcorn69420	12
