rank	username	minecraft:dropped/minecraft:activator_rail
1	noam464	2673
2	eitanzaki	741
3	Quincannon	448
4	Blaiku	198
5	Hyp3rion_	188
6	Di_infiri	125
7	lillips	120
8	EcksD	92
9	Werbe	64
10	ProfessorBee	40
11	The_SlideV5	29
12	Nicserso	24
13	Xclax101	18
13	lordpipe	18
15	thewindmillman	14
16	SteveCraftBlocks	13
17	Maenara	12
17	Freak_Genius	12
19	6king6colt6	11
19	corvidpartyfor6	11
21	Smoke____	10
22	pintsizedrogue	9
23	Fuad_R	8
24	Rebytre	7
25	livingdaydreams	6
25	12Magner05	6
25	eviltunix	6
25	TheDankPlatypus	6
25	fred870d	6
25	SullivanNephew	6
25	SkateboardR6	6
25	stavgod	6
25	PortlyPete69	6
34	Hiryu27	5
34	chipklip	5
34	NotMeowMix	5
34	SvenskaHugo	5
34	Soplight	5
34	K_a__a_n	5
40	TJawesome09	4
40	GlitchyPlate810	4
40	UrbanPlanner1978	4
43	_Virify_	3
43	Prodiginus	3
43	Fullut	3
43	platinumzero	3
43	The11thDoctor	3
43	shrimp_flips	3
43	Blu3beast	3
43	ThatMan_Dave	3
43	Miko_Fullbuster	3
52	Smashic	2
52	TableTim	2
52	BRRRN179	2
52	jewbacaman	2
52	Spacewardharpy7	2
52	Eraxa	2
52	YungMaki	2
52	oxfordschool	2
52	vandmanden	2
61	pZygh0st	1
61	Merv__	1
61	Huwulling	1
61	fade_emerge78823	1
61	chank_	1
61	PigDab	1
61	AlexxO_o	1
61	LilLizardWizard	1
61	HellsSponge	1
61	Shogunite	1
61	Groundler	1
61	Barlycorn	1
61	SUN_DREAM	1
61	Ezekson	1
