rank	username	minecraft:dropped/minecraft:honey_bottle
1	noam464	65957
2	EcksD	23042
3	thewindmillman	19971
4	Fullut	1304
5	TheTommyGun63	112
6	HellsSponge	106
7	eitanzaki	105
8	Smoke____	95
9	lillips	90
10	joethahobo	51
11	xolstoi	44
12	YungMaki	33
13	FreakGenius	32
14	Mahoose	23
15	NameGenerat0r	20
16	PhantomsGhost_	19
17	Razzgriz	18
18	Soplight	17
19	Di_infiri	16
20	stavgod	14
20	h2p_emrld	14
22	Zoeyfortnite	11
23	Blackberry1310	10
24	PortlyPete69	8
25	Chromary	7
26	I_Am_Mushkin	6
26	Afinnity	6
28	pintsizedrogue	5
28	rarrq	5
28	thescout7	5
28	claivin	5
28	Spacewardharpy7	5
28	Eraxa	5
34	Werbe	4
34	StinkyDiplomat	4
34	Nicserso	4
34	bladeefan2009	4
38	djancak	3
39	T045RTY	2
39	beeperbeeper5	2
39	TheSecondLord	2
39	gabriels543	2
39	Rebytre	2
39	luseis	2
39	alderban107	2
39	Sral7	2
47	EMC_	1
47	Frozil20	1
47	Sleek_Storm_721	1
47	hm947	1
47	Shadoko_	1
47	kekhon	1
47	fr_ser	1
47	okCrypto	1
47	EveryonesUncle	1
47	Deathkob	1
47	DarlaMeow	1
47	Ze_BaronKrigler	1
47	Mythic1130	1
47	ConnorDanky_	1
47	2bolx_	1
