rank	username	minecraft:dropped/minecraft:dark_oak_pressure_plate
1	lillips	78
2	thewindmillman	66
3	eviltunix	64
4	seramalen	36
5	Lez_	31
6	kekhon	25
7	Eraxa	18
8	beeperbeeper5	15
9	SaucyDark	14
10	eitanzaki	5
10	jnp_gaming	5
12	titanlax	4
13	joethahobo	3
14	pintsizedrogue	2
14	DinoDoctor_	2
14	Mahoose	2
14	ratglock	2
14	XboxPanda	2
14	Winklepicker279	2
14	Y_A_N_N_I	2
14	Dakar_	2
14	Fuad_R	2
14	Blu3beast	2
14	xzvu	2
25	Groovy_MoonBird	1
25	Frozil20	1
25	Ryan_GEMS	1
25	Historical_Sand	1
25	ThePoliteG	1
25	GingerNeutron	1
25	Smashic	1
25	Uzbeki_John	1
25	noam464	1
25	NarwhalTaco	1
25	selectrix	1
25	EveryonesUncle	1
25	Ma_name_alex	1
25	SvenskaHugo	1
25	Kowcio_	1
25	_i_ERROR_i_	1
25	CalebDHawk	1
25	00000000-0000-0000-0009-01f16526f034	1
