rank	username	minecraft:dropped/minecraft:dark_oak_pressure_plate
1	lillips	78
2	thewindmillman	66
3	eviltunix	64
4	seramalen	36
5	Lez_	31
6	kekhon	25
7	Eraxa	18
8	beeperbeeper5	15
9	SaucyDark	14
10	eitanzaki	5
10	jnp_gaming	5
12	titanlax	4
13	joethahobo	3
14	pintsizedrogue	2
14	Mr_Byzantine	2
14	DinoDoctor_	2
14	Mahoose	2
14	ratglock	2
14	XboxPanda	2
14	Winklepicker279	2
14	Hyp3rion_	2
14	Y_A_N_N_I	2
14	Dakar_	2
14	Fuad_R	2
14	Blu3beast	2
14	xzvu	2
27	Groovy_MoonBird	1
27	Frozil20	1
27	Ryan_GEMS	1
27	Historical_Sand	1
27	ThePoliteG	1
27	GingerNeutron	1
27	Smashic	1
27	Uzbeki_John	1
27	noam464	1
27	NarwhalTaco	1
27	selectrix	1
27	EveryonesUncle	1
27	Ma_name_alex	1
27	SvenskaHugo	1
27	Kowcio_	1
27	_i_ERROR_i_	1
27	CalebDHawk	1
27	00000000-0000-0000-0009-01f16526f034	1
