rank	username	minecraft:dropped/minecraft:oak_log
1	thewindmillman	137374
2	Spacewardharpy7	33874
3	Freak_Genius	8546
4	noam464	5412
5	Hyp3rion_	5194
6	EcksD	4102
7	Di_infiri	3309
8	Werbe	2546
9	Skylord_Luke	2392
10	Jackattack53	2213
11	Mahoose	1896
12	eitanzaki	1733
13	LordSpeed37	1688
14	Smoke____	1677
15	Hisiste	1640
16	EveryonesUncle	1490
17	Yaspresents	1472
18	UCP_TheKingK	1454
19	_Virify_	1447
20	joethahobo	1388
21	mwrty	1332
22	Kowcio_	1306
23	Snowflowe	1274
24	beeperbeeper5	1167
25	Marbz_	1048
26	rarrq	1010
27	burbankbuilder28	991
28	HesDemonPants	979
29	Blackberry1310	858
30	500am	842
31	HellsSponge	816
31	TechnoNinja64	816
33	Legendosh	723
34	fr0stss	669
35	Inbefour	662
36	Blaiku	660
37	livingdaydreams	656
38	lordpipe	636
39	anbbang	624
40	Uzbeki_John	612
41	KingMatthew506	611
42	Segotep999	601
43	Racengan	600
44	thescout7	571
45	I_Am_Mushkin	523
46	SammiWolfGirl	519
47	Frozil20	512
48	Flores991	448
49	MyNameIsJobo	420
50	kekhon	415
51	oxfordschool	414
52	ImpavidArcher	412
53	ItsJWolff	384
54	Quaintster	381
55	Smashic	367
56	eiC_	360
57	stahouo	354
58	Ecplosive	345
59	Spenduh	338
60	ApophisNova	325
60	MyNamaSheff	325
62	Hermanni__	324
63	Akoot_	319
64	Inchef	302
65	El_Jalapeno	295
66	ShedJr_	291
67	chipklip	284
68	XboxPanda	281
69	DAD_1996	276
70	Soap_Bender	259
71	k1ngGilgamesh	256
71	Fildyr	256
73	Fullut	245
74	wTXop	244
75	WET_WET_WET	236
76	Horno	230
77	Eraxa	228
78	Xclax101	221
79	Luminad3	218
80	Alteriity	214
81	Merv__	212
82	fallingemma	211
83	fluddd	209
84	Kferno	204
85	T045RTY	200
86	PazinGaming	198
86	Frxnkz	198
88	Kouridragon	192
88	BugsDaBunny	192
90	Posseth	179
91	Ezekson	177
92	ooga47	176
93	KlausVonStiglitz	169
94	Dogcorn69420	167
95	youhjjhhhjj	165
96	TheWildMateo	164
97	Groovy_MoonBird	163
97	Menthas	163
99	CoffeeNoir	159
100	Killercatty78	157
100	PeteO1995	157
102	JoCoLi	156
103	lcvezra	152
104	SteveCraftBlocks	151
105	groofles	143
106	Bandito_Roamer	142
107	PhantomsGhost_	141
108	Sky_light_KING	140
109	awesomeoneme	139
109	PigDab	139
109	Hyperphoenix42	139
112	Z3braYTIL	134
112	xxPipperDipperxx	134
112	obzii	134
115	NomadicRobin_	133
116	prizm_	132
117	YungMaki	129
118	Tolhart	128
118	Historical_Sand	128
118	RodSerlingCringe	128
121	Corbsman	127
122	imaginek1d	126
122	UrbanPlanner1978	126
124	benediktine1	123
125	_naturell	122
126	wobn	121
127	set67	120
128	Awyrlas	119
129	heysushii	118
130	jcool7	114
131	EMC_	112
132	Arceus1975	109
133	Kuragari_	108
134	MakeHistory157	107
135	ROY4LE	106
136	jiggywraps	100
136	RedcatVII	100
138	ratglock	99
139	ToastedGamingYT	96
139	MightyWertu	96
141	himak1	95
142	WyngGoy	94
142	SexcMf	94
142	ProbsNotNova	94
145	iHuntWeeaboos	93
145	Blu3beast	93
147	sadvavilloso	91
148	Steelynan	90
148	Skippeh	90
150	_Cloverbelle_	88
150	PlasticOtari	88
152	hm947	87
153	Kakolbus	86
153	alderban107	86
155	Nycteus_	85
156	stavgod	83
157	NinjaKnifeKill	82
157	Quotary	82
157	jnp_gaming	82
160	jpoxman	80
161	SyntheticSurgeon	79
161	gcaisawesome	79
163	Auseawesome	78
163	Sheldor097	78
165	fw3xywashere	76
165	__tomato	76
167	wordboy107	75
167	SvenskaHugo	75
169	MineMaster0012	73
170	DemTechAlpha	72
171	6king6colt6	71
171	AlphaWolfPlaysMC	71
173	Enderslayerxz3	70
174	prelutrinae	69
174	CollinMH06	69
174	DaviusMaximoose	69
174	Fuad_R	69
174	Miko_Fullbuster	69
179	pintsizedrogue	67
179	okCrypto	67
181	Spaghettatron	66
181	ragdaddie	66
181	pixelviolin	66
181	Kyrum2169	66
181	erkada	66
186	error10101	65
186	Nicserso	65
188	diamondgolem35	64
188	Dedalus36	64
188	TooManyDuck	64
188	Cartoonmaniac	64
188	Da_Boss_Rani	64
188	Euclidoris	64
188	ZigzagLily43042	64
188	NotKaden_	64
188	gabriels543	64
188	TheSeismicDuck	64
188	Cocoamallows	64
188	TheOnlyRake	64
200	301851	63
200	CarltheCuck	63
200	Phoenix_Diacou	63
203	Lez_	62
203	dragonwarrior206	62
203	MAns_44	62
203	Kekoo	62
207	fred870d	61
207	ogoa	61
207	xsewn	61
210	hcb238	60
210	seramalen	60
212	NotTrixi	59
212	VilsSwag	59
214	2Stout	58
214	MovingFish7	58
214	fffMike	58
214	kinas45y5	58
218	oreee	57
218	drunkeeez	57
220	MinePowerz	56
220	Ardennes	56
222	Lord_Jord	54
222	mihimihimihi	54
224	07shiny	53
224	Faart	53
226	emrekn	52
226	Th6masss	52
226	yatsuta	52
229	RatatJuice	51
229	Travka100	51
231	Rocco_Lane	50
232	Babushka0430	49
232	PlzNoBM	49
232	cichy096	49
235	_Nuf	48
235	DrBalloon	48
235	impossibleteapot	48
235	Onennon	48
235	Luigipunch989	48
235	Aryamanee	48
235	FishisTTV	48
242	Myrosia	47
242	Shiirazuku	47
242	Groundler	47
245	Leyna3	46
246	kars0n	45
247	BlancoFlaco	44
247	Deerfoot	44
249	Ao_Ken	43
250	Sna_Ke	42
251	_Huge_Male_	41
251	TableTim	41
251	NebulousBadger	41
251	Smaldo	41
251	blackmage426	41
251	Zoeyfortnite	41
257	NieToksikpl	40
257	gustarbite	40
259	Sleek_Storm_721	39
259	TheSecondLord	39
259	Scathra	39
259	Rebytre	39
259	sp00ky_ghost977	39
264	Jokerman369	38
264	arcanemagic	38
264	Jiminbub	38
267	_Dean_123	37
267	ItsDeltaMC	37
269	corvidpartyfor6	36
269	CasperHxly	36
269	CSG_Haru	36
272	Vetral1	35
273	Cowison	34
273	RebelAndroid	34
273	00000000-0000-0000-0009-01f898304150	34
276	Lauratheking	32
276	surfinggiraffejp	32
276	trixterrx	32
276	Voxin2K	32
276	thgrocks	32
276	JollyDroopy52	32
276	microcrisp	32
283	Wooptey	31
283	Motsaro	31
283	Bawbman	31
283	JayToe	31
287	lotarp	30
287	Tkraack	30
289	Ilinca_Io	29
289	Swexti	29
289	M_Patata	29
289	Wowful	29
293	ExtraDumb	28
293	ssleepless	28
293	MasterNueve	28
293	Shin69	28
293	Xi_J1nping	28
298	dartwaffle	27
299	GingerNeutron	26
300	bigstankyy	25
