rank	username	minecraft:dropped/minecraft:fire_coral_fan
1	noam464	59
2	EcksD	42
3	Quaintster	34
4	Blaiku	21
5	Maenara	14
6	RobotMinion101	13
7	thewindmillman	12
8	500am	10
9	Onennon	9
10	Kynigito	8
10	SpookyDraggin	8
12	T045RTY	7
13	eitanzaki	6
14	12Magner05	4
14	Blu3beast	4
16	Di_infiri	3
16	Arceus1975	3
18	ImpavidArcher	2
18	CollinMH06	2
18	Bumpy419	2
18	groofles	2
18	fkGrim	2
18	The_Quack_Dealer	2
18	Freak_Genius	2
18	monky_irl	2
18	MilleGrug	2
18	Nicserso	2
18	h2p_emrld	2
29	pintsizedrogue	1
29	dudcreeper	1
29	ItsColin11	1
29	tuckerdoodle	1
29	ChrisKyleST3	1
29	HellsSponge	1
29	MightyWertu	1
29	Spacewardharpy7	1
29	SexcMf	1
29	CalebDHawk	1
29	KingMatthew506	1
29	Enderslayerxz3	1
