rank	username	minecraft:dropped/minecraft:cyan_concrete
1	Hyp3rion_	5176
2	Jackattack53	3456
3	lordpipe	385
4	shrimp_flips	257
5	ImpavidArcher	240
6	Blaiku	190
7	Crowman1	184
8	Huwulling	181
9	eitanzaki	178
10	weabis	131
11	pintsizedrogue	64
11	Manaateee	64
13	beeperbeeper5	56
14	teslawolf38	55
15	Di_infiri	42
16	mihimihimihi	40
17	Spacewardharpy7	35
18	h2p_emrld	30
19	r123moore	24
20	skitzxo	21
21	thewindmillman	7
22	Yamdalorian	5
23	TheWildMateo	4
23	Steelynan	4
25	Frozil20	3
25	noam464	3
27	KingMatthew506	2
28	Mahoose	1
28	500am	1
28	olliebollie48	1
28	ooga47	1
28	Akoot_	1
28	CalebDHawk	1
