rank	username	minecraft:dropped/minecraft:blue_terracotta
1	thewindmillman	86809
2	_Nuf	653
3	kekhon	628
4	Crowman1	343
5	groofles	197
6	Vellu21	192
7	MightyWertu	170
8	YungMaki	111
9	noam464	98
10	Jackattack53	96
11	MakeHistory157	85
12	TechnoNinja64	72
13	EcksD	71
14	mwrty	70
15	Shogunite	65
16	ImpavidArcher	64
17	Notta	58
18	LeGold	46
19	eitanzaki	33
20	Blaiku	30
21	Sral7	26
22	The_SlideV5	22
23	TheSecondLord	18
23	Awyrlas	18
25	JohnPrice	16
26	Di_infiri	15
26	jcool7	15
28	Soplight	13
29	Tyrannosplart	11
29	MovingFish7	11
31	AltnumberF4	8
32	Lez_	7
33	FreakGenius	6
34	12Magner05	4
34	Smashic	4
36	Groovy_MoonBird	3
36	ApophisNova	3
36	Akoot_	3
36	Blu3beast	3
36	MyNamaSheff	3
36	PlasticOtari	3
42	ROY4LE	2
42	Werbe	2
42	Nicky19	2
42	Wowful	2
42	NameGenerat0r	2
42	TheOuterCore	2
48	Jovaphobic	1
48	PhantomsGhost_	1
48	SpaceGrenadier	1
48	beeperbeeper5	1
48	Frxnkz	1
48	Comma__	1
48	m_be9	1
48	ProfessorBee	1
48	lorpus	1
48	fade_emerge78823	1
48	theonlymagikarp	1
48	WET_WET_WET	1
48	Hyp3rion_	1
48	Parcc	1
48	TheShyPig	1
48	ougstur	1
48	ADEXTV	1
48	XxCookiequeenxX	1
48	fkGrim	1
48	luseis	1
48	Manaateee	1
48	DarlaMeow	1
48	pixelviolin	1
48	BlankityMcBlank	1
48	Spenduh	1
48	xzvu	1
48	lcvezra	1
48	Skippeh	1
48	Iamthejo	1
48	Enderxz3	1
48	HesDemonPants	1
48	xolstoi	1
