rank	username	minecraft:dropped/minecraft:acacia_door
1	500am	300
2	Werbe	31
3	EcksD	28
4	eitanzaki	20
5	beeperbeeper5	12
5	AdmiralSmoke	12
7	thewindmillman	11
8	Tyrannosplart	8
9	Groovy_MoonBird	7
9	LeonelSalamanca	7
9	Kowcio_	7
12	fkGrim	6
13	Franco093	5
13	4774	5
13	fade_emerge78823	5
16	Blackberry1310	4
16	ThePoliteG	4
16	mwrty	4
16	WET_WET_WET	4
16	MS_Pryxx	4
21	Jackattack53	3
21	Elastiq	3
21	NomadicRobin_	3
21	EveryonesUncle	3
21	FreakGenius	3
21	fffMike	3
27	SmashingPump	2
27	hm947	2
27	ShedJr_	2
27	noam464	2
27	brrh	2
27	benediktine1	2
27	Doom_melon	2
27	kars0n	2
27	fw3xy74	2
27	luseis	2
27	Katthaj	2
27	Racengan	2
27	lordpipe	2
27	YungMaki	2
27	Steelynan	2
27	cichy096	2
27	smogfrog	2
44	k_ce	1
44	Mr_Byzantine	1
44	PazinGaming	1
44	Merv__	1
44	Sabby65	1
44	Hpdinosaur	1
44	Fractured_	1
44	Historical_Sand	1
44	Stright_	1
44	Rich_Kat	1
44	lilsay	1
44	paranoid_plant	1
44	Kubelz	1
44	Di_infiri	1
44	King_Pancake1	1
44	Mattesco	1
44	Moofyman	1
44	fxiryglitch	1
44	FishyBoy3811	1
44	Leyna3	1
44	kiluaemc	1
44	marumochis	1
44	RedcatVII	1
44	Decaying_Lotus	1
44	pixelviolin	1
44	Spenduh	1
44	stellarjay	1
44	xX_Stalin69_Xx	1
44	Vellu21	1
44	Nicserso	1
44	xolstoi	1
