rank	username	minecraft:dropped/minecraft:polished_blackstone_brick_stairs
1	noam464	1105
2	eitanzaki	950
3	Blaiku	427
4	EveryonesUncle	153
5	benediktine1	131
6	KG1999	86
7	YungJakobo	83
8	lillips	65
9	thewindmillman	64
9	MilleGrug	64
11	500am	54
12	Dusk_95	52
13	ToastedGamingYT	41
14	Kubeusz2010	38
15	FishyBoy3811	37
16	kekhon	27
17	SquadMonster	20
18	Marbz_	19
19	Mattesco	17
20	GlitchyPlate810	16
21	beeperbeeper5	15
22	_NieToksikpl_	13
22	lordpipe	13
24	Akoot_	12
25	Solar_Power	11
26	UCP_TheKingK	8
27	Legendosh	7
28	Spacewardharpy7	5
29	r123moore	4
29	guccipucci_	4
29	cichy096	4
32	mwrty	3
32	burbankbuilder28	3
32	PigDab	3
32	lizardfightclub	3
32	Racengan	3
32	SkateboardR6	3
32	YungMaki	3
39	pintsizedrogue	2
39	Travasaur	2
39	RebelAndroid	2
39	livingdaydreams	2
39	T045RTY	2
39	Mahoose	2
39	TheSecondLord	2
39	set67	2
39	Enderslayerxz3	2
39	diggydog67	2
49	Cowison	1
49	Fullut	1
49	Master_Kol	1
49	pumpfonzo	1
49	Winklepicker279	1
49	Di_infiri	1
49	GreedyFern8581	1
49	Skylord_Luke	1
49	fred870d	1
49	ogoa	1
49	MyNameIsDakar	1
49	Shogunite	1
49	SingedBread	1
49	Segotep999	1
49	djancak	1
49	PlasticOtari	1
