rank	username	minecraft:dropped/minecraft:polished_blackstone_brick_stairs
1	noam464	1105
2	eitanzaki	950
3	Blaiku	427
4	EveryonesUncle	153
5	benediktine1	131
6	Solar_Power	124
7	KG1999	86
8	YungJakobo	83
9	thewindmillman	65
9	lillips	65
11	MilleGrug	64
12	500am	54
13	Dusk_95	52
14	ToastedGamingYT	41
15	Kubeusz2010	38
16	FishyBoy3811	37
17	kekhon	27
18	SquadMonster	20
19	Marbz_	19
20	beeperbeeper5	17
20	Mattesco	17
22	GlitchyPlate810	16
23	NieToksikpl	13
23	lordpipe	13
25	Akoot_	12
26	UCP_TheKingK	8
27	Legendosh	7
28	Spacewardharpy7	5
29	r123moore	4
29	guccipucci_	4
29	cichy096	4
32	mwrty	3
32	burbankbuilder28	3
32	PigDab	3
32	lizardfightclub	3
32	Racengan	3
32	SkateboardR6	3
32	YungMaki	3
39	pintsizedrogue	2
39	Travasaur	2
39	RebelAndroid	2
39	livingdaydreams	2
39	T045RTY	2
39	Alteriity	2
39	Mahoose	2
39	TheSecondLord	2
39	set67	2
39	Hyp3rion_	2
39	LazySupport00	2
39	Enderslayerxz3	2
39	diggydog67	2
52	Cowison	1
52	Fullut	1
52	Master_Kol	1
52	pumpfonzo	1
52	Winklepicker279	1
52	Di_infiri	1
52	GreedyFern8581	1
52	Skylord_Luke	1
52	fred870d	1
52	ogoa	1
52	MyNameIsDakar	1
52	Shogunite	1
52	SingedBread	1
52	Segotep999	1
52	djancak	1
52	PlasticOtari	1
