rank	username	minecraft:dropped/minecraft:lime_dye
1	thewindmillman	520613
2	Hyp3rion_	4608
3	noam464	1802
4	eitanzaki	315
5	Lez_	312
6	Onennon	256
7	Huwulling	125
7	EcksD	125
9	PigDab	124
10	Blaiku	109
11	Werbe	71
12	HellsSponge	68
13	Snowflowe	65
14	NameGenerat0r	64
14	Spacewardharpy7	64
16	Blu3beast	63
17	IamCL4SSY	62
18	ConnorDanky_	53
19	FishisTTV	52
20	mwrty	24
20	MyNameIsJobo	24
20	vandmanden	24
23	Sral7	16
24	sxc_	15
25	Kokeech	11
25	Nicserso	11
27	beeperbeeper5	10
28	CadenSteele	9
29	T045RTY	8
30	djancak	7
30	SammiWolfGirl	7
32	NomadicRobin_	6
33	Jackattack53	4
33	SuperPooch06	4
33	claivin	4
33	stavgod	4
37	Fullut	3
37	BlueZabu	3
37	FreakGenius	3
37	Xclax101	3
37	monky_irl	3
37	jcool7	3
43	_Huge_Male_	2
43	Wooptey	2
43	oreee	2
43	500am	2
43	Bumpy419	2
43	lillips	2
43	Tyrannosplart	2
43	The_slideV3	2
43	Kowcio_	2
43	TechnoNinja64	2
43	PlasticOtari	2
54	Mahoose	1
54	Prismyst	1
54	joethahobo	1
54	Da_Boss_Rani	1
54	Pofen	1
54	Euclidoris	1
54	_Dean_123	1
54	PuustaKauasPdnt	1
54	The11thDoctor	1
54	wezzzi	1
54	DarlaMeow	1
54	lordpipe	1
54	iSammael	1
54	Eraxa	1
54	xzvu	1
54	Quotary	1
54	RoboTramp7865	1
