rank	username	minecraft:dropped/minecraft:lime_dye
1	thewindmillman	520613
2	Hyp3rion_	4560
3	noam464	1802
4	eitanzaki	315
5	Lez_	307
6	Onennon	256
7	Huwulling	125
7	EcksD	125
9	PigDab	124
10	Blaiku	109
11	Werbe	71
12	HellsSponge	68
13	Snowflowe	65
14	NameGenerat0r	64
14	Spacewardharpy7	64
16	Blu3beast	63
17	IamCL4SSY	62
18	ConnorDanky_	53
19	FishisTTV	52
20	mwrty	24
20	MyNameIsJobo	24
20	vandmanden	24
23	Sral7	16
24	sxc_	15
25	Kokeech	11
25	Nicserso	11
27	beeperbeeper5	10
28	CadenSteele	9
29	T045RTY	8
30	djancak	7
30	SammiWolfGirl	7
32	NomadicRobin_	6
33	SuperPooch06	4
33	claivin	4
33	stavgod	4
36	Fullut	3
36	BlueZabu	3
36	FreakGenius	3
36	Xclax101	3
36	monky_irl	3
36	jcool7	3
42	Wooptey	2
42	oreee	2
42	500am	2
42	Jackattack53	2
42	Bumpy419	2
42	lillips	2
42	Tyrannosplart	2
42	The_slideV3	2
42	Kowcio_	2
42	TechnoNinja64	2
42	PlasticOtari	2
53	Mahoose	1
53	Prismyst	1
53	joethahobo	1
53	Da_Boss_Rani	1
53	Euclidoris	1
53	_Dean_123	1
53	PuustaKauasPdnt	1
53	The11thDoctor	1
53	wezzzi	1
53	DarlaMeow	1
53	lordpipe	1
53	iSammael	1
53	Eraxa	1
53	xzvu	1
53	RoboTramp7865	1
