rank	username	minecraft:crafted/minecraft:flint_and_steel
1	Hyp3rion_	179
2	lordpipe	95
3	PlasticOtari	88
4	noam464	87
5	Di_infiri	80
6	Freak_Genius	59
7	Spacewardharpy7	57
8	Werbe	56
9	EcksD	50
10	eitanzaki	43
11	12Magner05	41
12	Groovy_MoonBird	40
13	bloodbiter	36
13	Smoke____	36
15	ediballbearings	35
16	PigDab	31
17	beeperbeeper5	30
18	HellsSponge	23
18	Zoeyfortnite	23
20	Frozil12	21
21	jnp_gaming	20
22	Rebytre	17
22	__tomato	17
22	Enderslayerxz3	17
25	set67	16
25	Bumpy419	16
25	MilleGrug	16
28	Jackattack53	15
28	SkateboardR6	15
30	Mahoose	14
30	TheSecondLord	14
30	Sral7	14
33	mwrty	13
33	Winklepicker279	13
33	EveryonesUncle	13
33	Racengan	13
33	Aftrbrnr	13
33	LordSpeed37	13
39	Blackberry1310	12
39	Lord_Jord	12
39	lcvezra	12
39	PortlyPete69	12
43	joethahobo	11
43	rarrq	11
43	thewindmillman	11
43	selectrix	11
43	TheEnderman548	11
43	Spenduh	11
49	Dedalus36	10
49	chipklip	10
49	djancak	10
49	Steelynan	10
49	Hermanni__	10
54	_Virify_	9
54	T045RTY	9
54	ProfessorBee	9
54	500am	9
54	ROY4LE	9
54	claivin	9
54	monky_irl	9
54	YungMaki	9
54	Segotep999	9
54	Nargotah	9
54	Njensen7	9
54	Ezekson	9
54	Legendosh	9
67	TheBiggestFeller	8
67	m_be9	8
67	kekhon	8
67	Inchef	8
67	Kakolbus	8
67	gabriels543	8
67	Inbefour	8
67	fluddd	8
67	MakeHistory157	8
67	EcksDofficial	8
77	ShedJr_	7
77	MSK__	7
77	Fullut	7
77	TheShyPig	7
77	Akoot_	7
77	Blu3beast	7
77	Nycteus_	7
77	Xclax101	7
77	Blaiku	7
77	stahouo	7
77	diggydog67	7
88	pintsizedrogue	6
88	Drlzyy	6
88	KarlKaek	6
88	xxPipperDipperxx	6
88	SullyhS	6
88	Chromary	6
88	Zythose	6
88	ApophisNova	6
88	Onennon	6
88	yulgur1	6
88	NomadicRobin_	6
88	ebanana	6
88	El_Jalapeno	6
88	MightyWertu	6
88	jcool7	6
88	oxfordschool	6
88	cichy096	6
88	MyNamaSheff	6
88	MeetTheWollo	6
88	kinas45y5	6
108	SyK7	5
108	PhantomsGhost_	5
108	dudcreeper	5
108	I_Am_Mushkin	5
108	bigstankyy	5
108	SaucyDark	5
108	thescout7	5
108	eviltunix	5
108	gcaisawesome	5
108	Rumpletaezer	5
108	cedric72	5
108	_naturell	5
108	ToastedGamingYT	5
108	Jiminie	5
108	The_slideV3	5
108	NameGenerat0r	5
