rank	username	minecraft:crafted/minecraft:raw_gold
1	pintsizedrogue	1620
2	corvidpartyfor6	1332
3	500am	1152
4	Jiminie	594
5	GlitchyPlate810	513
6	EMC_	450
7	calamariclam_I	407
8	Myszoaz	387
9	Solar_Power	333
10	SingedBread	301
11	groofles	297
12	TAKrules	189
12	fffMike	189
14	pixelviolin	162
15	Huwulling	144
15	SlayerCrypto	144
17	prizm_	108
17	ApophisNova	108
17	MyNamaSheff	108
20	beeperbeeper5	99
20	Rebytre	99
22	12Magner05	90
23	Rocco_Lane	81
23	Miko_Fullbuster	81
25	Flores991	72
25	Sleepy_Time_	72
27	iSammael	63
27	SvenskaHugo	63
27	starbits140	63
30	ConJaBz	27
30	Ze_BaronKrigler	27
32	Da_Boss_Rani	9
32	TJawesome09	9
32	smogfrog	9
