rank	username	minecraft:crafted/minecraft:redstone_block
1	thewindmillman	92548
2	noam464	20875
3	EcksD	20429
4	Spacewardharpy7	9027
5	Blaiku	8955
6	pintsizedrogue	5502
7	TheShyPig	5268
8	Werbe	5245
9	Hyp3rion_	4709
10	gcaisawesome	3824
11	Enderslayerxz3	3475
12	livingdaydreams	3287
13	Zythose	3266
14	EMC_	3083
15	mwrty	2839
16	Smoke____	2525
17	joethahobo	2504
18	PhantomsGhost_	2495
19	PigDab	2428
20	ROY4LE	2419
21	500am	2261
22	HellsSponge	2221
23	Di_infiri	1975
24	m_be9	1930
25	Snowflowe	1903
26	YungMaki	1855
27	_Nuf	1803
28	Inbefour	1799
29	beeperbeeper5	1774
30	Akoot_	1714
31	kekhon	1683
32	eitanzaki	1650
33	Awyrlas	1638
34	vandmanden	1574
35	lordpipe	1519
36	FallenCorps	1488
37	oxfordschool	1451
38	MyNameIsJobo	1402
39	TheThomas69	1365
40	teslawolf38	1344
41	GoofyBread	1324
42	Ecplosive	1317
43	Miko_Fullbuster	1279
44	yulgur1	1265
45	Toriankel	1263
46	cedric72	1242
47	Skippeh	1225
48	Hoid_the_Roamer	1153
49	Freak_Genius	1062
50	SaucyDark	1038
51	Groundler	1022
52	Bandito_Roamer	1012
53	ShedJr_	1000
54	MakeHistory157	991
55	eviltunix	984
56	Malorn_Aetherius	955
57	Jackattack53	948
58	Ezekson	938
59	TheSecondLord	926
60	Airem_Core	923
61	thescout7	894
62	T045RTY	849
63	Kyrum2169	764
64	Fullut	761
64	_3Stump_	761
66	Dedalus36	720
67	sp00ky_ghost977	706
68	Mahoose	697
69	ProfessorBee	673
70	Mewar	670
70	Nicserso	670
72	masskedman	669
73	rarrq	664
74	WyngGoy	662
75	SammiWolfGirl	654
76	diamondgolem35	651
77	TheSeismicDuck	646
78	RebelAndroid	642
79	TooManyDuck	626
80	soundad	620
80	PlzNoBM	620
82	MangoTheFish	618
83	RadarHz	603
84	Blackberry1310	602
85	Zedducius	601
86	xPixelRainx	576
87	Arceus1975	574
88	Cocoamallows	572
89	Cowison	570
90	q_wq	563
91	SSytex_X	560
92	Kakolbus	549
93	NoChumpChange	546
94	jnp_gaming	544
94	TechnoNinja64	544
96	Jiminie	531
97	G1ldor	529
98	valkam13	512
99	Voxin2K	490
100	blockgamer_69	489
101	Xclax101	486
102	Kubelz	482
103	_TCARREIRA_	479
104	Gary_	466
105	AlphaWolfPlaysMC	465
106	wezzzi	464
107	Lord_Jord	459
108	slkiey	455
109	Historical_Sand	445
110	fffMike	437
110	Legendosh	437
112	Factoroni	428
112	Soplight	428
114	Sral7	427
115	Vetral1	426
116	Drewen24	425
116	CalebDHawk	425
118	Soap_Bender	416
119	Hisiste	409
120	starbits140	403
121	Myszoaz	402
122	12Magner05	396
122	PegLegPete93	396
