rank	username	minecraft:crafted/minecraft:crimson_fence
1	beeperbeeper5	1200
2	xxPipperDipperxx	318
3	Legendosh	315
4	RebelAndroid	306
5	rarrq	303
6	SvenskaHugo	165
7	catandmoose	144
7	lillips	144
9	_Razaria	102
10	Lez_	96
10	Lord_Jord	96
12	AdmiralSmoke	90
13	Dakar_	87
14	underscore_2	80
15	hanaryheatwave	72
16	joethahobo	69
17	Optiprimus	66
17	anbbang	66
19	Syropatathe	48
19	MAns_44	48
21	drunkeeez	42
22	livingdaydreams	36
22	Marbz_	36
24	luseis	33
24	SpacesickPrism	33
26	k_ce	24
27	Kowcio_	21
27	Steelynan	21
29	lunathelemon	18
29	BobDeBouwer1337	18
31	CoffeeNoir	15
32	pintsizedrogue	12
32	Jackattack53	12
32	Jonafrog99	12
32	TheWildMateo	12
32	Manaateee	12
37	Lutres_	9
37	FreakGenius	9
37	PlasticOtari	9
40	HellsSponge	8
41	jessewegottacook	6
41	shadowthemonkey	6
41	thewindmillman	6
41	Rebytre	6
41	RadarHz	6
46	Cowison	3
46	Mahoose	3
46	ShedJr_	3
46	CliffEmAll	3
46	Fullut	3
46	Zythose	3
46	PigDab	3
46	SingedBread	3
46	Spacewardharpy7	3
46	Segotep999	3
46	Soplight	3
46	Enderxz3	3
46	Jimb0nat0r	3
