rank	username	minecraft:crafted/minecraft:baked_potato
1	Blackberry1310	6241
2	Racengan	3655
3	sebastiensaborio	3315
4	Di_infiri	2599
5	TheShyPig	2542
6	pintsizedrogue	2087
7	kekhon	1878
8	wezzzi	1728
9	CliffEmAll	1672
10	noam464	1384
11	slkiey	1327
12	Bandito_Roamer	1325
13	RodSerlingCringe	1313
14	ewsophie	1311
15	NYJ	1280
16	Merv__	1237
17	Powowowow	1178
18	SSytex_X	1155
19	ProbablyNick	1141
20	Airem_Core	1044
21	ADEXTV	1010
22	Zythose	969
23	KarlKaek	906
23	Mahoose	906
25	Rumpletaezer	904
26	AJplaysMC_	834
26	MightyWertu	834
28	Xclax101	819
29	ooga47	780
30	Enderslayerxz3	768
31	theonlymagikarp	743
32	MyNameIsDakar	724
33	Smiguli_	722
34	OfficerAnvil	680
35	livingdaydreams	671
36	Kim_Jong_eel	640
37	__tomato	626
38	MattieHD	625
39	UncreativeArtist	614
40	rarrq	613
41	CoffeeNoir	609
41	_Karmaa	609
43	Deathkob	592
44	Cocoamallows	589
45	Typadopoulos	566
46	RefluxRatio	562
47	Dreamdbr14	560
48	The11thDoctor	558
49	squigglybones	542
50	dudcreeper	534
51	PigDab	530
52	TheSecondLord	504
53	djancak	495
54	RedcatVII	494
55	Dusk_95	493
56	Vorlice	480
56	Lowjinx	480
58	_Dean_123	466
59	Bobby808	464
59	Akoot_	464
61	Katsuragi0243218	455
62	himak1	453
62	Deerfoot	453
64	Chuglyfe	448
65	SaucyDark	447
66	ItsAki_	443
67	Hermanni__	436
68	oreee	418
69	eiC_	416
70	Skippeh	412
71	_Cloverbelle_	411
72	Zedducius	384
72	surfinggiraffejp	384
74	ImDisconnected_	370
75	Razzgriz	368
76	Smoke____	365
77	Iagoku	359
78	thgrocks	353
79	Reamdin	346
80	monky_irl	345
81	Hiryu27	342
82	PartyPhoenix	331
83	Rasaq	330
84	toj__	326
85	chipklip	315
86	RadarHz	303
87	layabout100	292
87	Vellu21	292
89	Prodiginus	291
90	dopplexd	287
91	burbankbuilder28	286
92	titanlax	284
93	pumpfonzo	283
94	Strangemonkey71	281
95	H72l9w	276
96	Valoth	272
97	bigstankyy	270
98	TheALV	265
99	Kouridragon	262
100	lcvezra	258
101	numbra	256
101	joethahobo	256
101	Windo_licker	256
101	FlashMigma	256
105	CharlieButt	248
106	mountaingirl311	247
107	BreadBacon	245
108	ratglock	238
109	shdesolt	228
110	Zetsey	227
111	firesgal3116	224
112	Toriankel	222
113	33sudo	221
114	TheThomas69	219
115	Skomo	218
116	WYFYoyo	217
117	The_Fulgurator	216
118	PhantomsGhost_	215
118	Lumien_	215
120	drumine	205
121	CaptainDeadBread	204
122	smarticuno	201
122	Jackattack53	201
124	xKhoshekh	193
124	Soplight	193
126	_stets	192
126	500am	192
128	TheOnlyRake	185
129	CaptainSteve345	184
130	rotten_mango	182
131	AuroraValkyrie	177
132	HAruSAme14	176
133	Jalvajar	172
133	mwrty	172
135	eviltunix	169
136	DemTechAlpha	165
136	BigCronkin	165
138	Ecplosive	164
138	Yahrto	164
140	Ravenbie	161
140	WyngGoy	161
142	AngalexikCZ	156
142	PeteO1995	156
142	Jiminbub	156
145	_Bguette_	153
146	Mr_Byzantine	152
147	KermitTheKripple	150
148	HollieDaNugget	144
148	thewindmillman	144
150	PlzNoBM	143
151	Gryglu583	140
151	DrGrant	140
151	JESS_THE_RERE	140
154	Malorn_Aetherius	137
155	6king6colt6	136
156	Kowcio_	130
157	2Stout	129
158	Tolhart	128
158	TastyPorkchop	128
158	AdvertisingMerc	128
158	ehunt54	128
158	Werbe	128
158	claivin	128
158	LordAurum	128
158	PortlyPete69	128
158	TheGameArchitect	128
167	MustardDrinker	127
167	El_Jalapeno	127
169	ItzYaBoiPicard	126
170	SammiWolfGirl	125
171	XboxPanda	123
171	balin55	123
171	Zoeyfortnite	123
174	whoaluv	116
175	Louiis123	115
176	Rorrofighter	114
176	Frxnkz	114
178	Arceus1975	113
179	AlphaWolfPlaysMC	112
180	TAKrules	109
181	Lukeee33	108
181	OG_Songsee	108
183	ILoveCarrot	107
184	Njensen7	106
185	Batman922	105
185	Mariopreeet	105
187	KeruNatsema	104
188	wrinkledpiglet	103
188	_czarny	103
190	lizardfightclub	102
191	m_be9	99
192	FetteMutter	98
193	Xovalt_	95
193	CoryJJ	95
195	KomputerDude	94
196	DarkFisto	93
196	Guillemet	93
196	coobert42	93
199	Soul_Atreus	91
200	bloodbiter	89
201	Deguns123	88
202	Zaridey	87
203	Humpcat	85
203	purpolepickle	85
205	CarltheCuck	84
206	Cowison	81
206	Megarboh	81
208	Septemb3r	80
209	Sleek_Storm_721	79
210	stavgod	78
211	NebulousBadger	77
212	Avrelion	76
213	Studyhallsaver	75
213	Fuhrer_Teemo	75
213	MustaLoordi	75
213	xyfrs	75
217	Wooptey	74
218	boog4loo	72
218	CruncyIsTaken	72
218	aec9	72
218	a_smol_bean	72
222	TakeThis2UrGrave	69
222	DeeDeeThonk	69
224	grislgrobl	68
225	KlausVonStiglitz	67
225	07shiny	67
227	BigBootyHudge	66
227	lotarp	66
227	Ezekson	66
230	RosaDoesMC	64
230	heysushii	64
230	Froste131	64
230	Paint	64
230	Ardennes	64
230	redikul	64
230	potato292	64
230	Inchef	64
230	SuperPooch06	64
230	kars0n	64
230	seramalen	64
230	Quincannon	64
230	SvenskaHugo	64
230	Goldiethebear03	64
230	_TCARREIRA_	64
230	UrbanPlanner1978	64
230	h2p_emrld	64
247	DarlaMeow	63
247	the__Reaper4999	63
249	Arsinic7	62
250	lOlmantschi	60
250	avalan64	60
252	Ze1ig	59
252	Bumpy419	59
254	pZygh0st	58
254	_naturell	58
254	BumbleBeever	58
254	Smaldo	58
258	Elprone266	57
258	MeanTugger	57
258	_Yonk_	57
261	jacxhadow	56
262	Kubelz	55
262	valiSW	55
262	jedi_george	55
262	vandmanden	55
266	hm947	54
267	Vetral1	53
267	Myhym	53
269	MikeIsSalty	51
269	TTNG	51
269	StamWolf	51
272	Tommhh	47
272	CLUBN2	47
274	Negriuke	45
274	Ir0npack	45
274	JayToe	45
277	awesomeoneme	44
277	_Wannabe_	44
279	fallingemma	43
279	Pickel_Lord	43
281	ImpavidArcher	40
282	DukBob	39
282	smogfrog	39
284	Fullut	38
284	Paintz	38
284	quindariousG	38
284	BioKing99	38
288	FirsTimeGamingTV	37
288	Nagasaki_Riku	37
290	milkedit	36
291	NanoShot	35
292	BobDeBouwer1337	34
292	Warlord324	34
294	Poppycop	33
294	Moetis	33
296	TinMaster	32
296	GingerNeutron	32
296	stuy9	32
296	1442	32
296	Shin69	32
