rank	username	minecraft:crafted/minecraft:stick
1	noam464	164942
2	HellsSponge	132999
3	thewindmillman	128514
4	pintsizedrogue	83473
5	Lez_	74235
6	joethahobo	66829
7	beeperbeeper5	63901
8	Yamdalorian	57659
9	ConnorDanky_	54379
10	TheShyPig	53030
11	Zythose	41523
12	Mahoose	38115
13	Werbe	35895
14	KingMatthew506	30769
15	Spacewardharpy7	30656
16	EMC_	30635
17	luseis	29666
18	Niklas20114552	28649
19	Di_infiri	26641
20	doublemaki	26373
21	Kowcio_	26248
22	Skylord_Luke	25916
23	Jackattack53	24212
24	AstreaTSS	23336
25	mwrty	23327
26	EcksD	22560
27	m_be9	21222
28	12Magner05	20016
29	Frozil20	19752
30	pixelviolin	19277
31	eitanzaki	18752
32	Mattesco	18624
33	PigDab	18447
34	500am	18188
35	Kubeusz2010	17620
36	lordpipe	17356
37	craaaash	16980
38	sp00ky_ghost977	16885
39	PlasticOtari	16683
40	Blaiku	16164
41	rarrq	16152
42	FormulaNewt3627	14976
43	gcaisawesome	14968
44	Merv__	14657
45	Eczbek	14319
46	Kakolbus	14281
47	Hyp3rion_	14185
48	_Dean_123	13324
49	Ezekson	13065
50	Legendosh	12859
51	EveryonesUncle	12817
52	2blox_	12797
53	LuvLuvLove	12520
54	OneLessChromosom	11850
55	Awyrlas	11671
56	El_Jalapeno	11571
57	Enderxz3	11470
58	Historical_Sand	11372
59	TheSecondLord	11261
60	royal_2	10701
61	Steelynan	10619
62	Njensen7	10464
63	PhantomsGhost_	9492
64	Soplight	9270
65	oscminus	9045
66	Galactic_Badger	8837
67	KarlKaek	8825
68	kekhon	8690
69	Mr_Byzantine	8616
70	mihimihimihi	8451
71	catandmoose	8320
72	xxPipperDipperxx	8221
73	Blackberry1310	8204
74	HesDemonPants	8184
75	ROY4LE	8173
76	k_ce	8053
77	Elastiq	7976
78	Lord_Jord	7885
79	Nicserso	7848
80	Akoot_	7792
81	r123moore	7739
82	_Huge_Male_	7638
83	milltesco	7472
84	bl1ss0	7429
85	WeebleSock	7363
86	Zaridey	7340
87	lorywithay	7282
88	Inchef	7249
89	jnp_gaming	7220
90	thescout7	7218
