rank	username	minecraft:crafted/minecraft:stick
1	noam464	164942
2	HellsSponge	132999
3	thewindmillman	128514
4	pintsizedrogue	83473
5	Lez_	74235
6	joethahobo	66829
7	beeperbeeper5	63901
8	Yamdalorian	55356
9	ConnorDanky_	54379
10	TheShyPig	53030
11	Zythose	41523
12	Mahoose	38115
13	Werbe	35895
14	KingMatthew506	30769
15	Spacewardharpy7	30656
16	EMC_	30635
17	luseis	29666
18	Di_infiri	26641
19	YungMaki	26373
20	Skylord_Luke	25916
21	Jackattack53	24208
22	AstreaTSS	23336
23	mwrty	23327
24	Niklas20114552	23176
25	EcksD	22560
26	m_be9	21222
27	Kowcio_	20344
28	12Magner05	20004
29	Frozil20	19752
30	pixelviolin	19277
31	eitanzaki	18752
32	Mattesco	18624
33	PigDab	18447
34	500am	18188
35	Kubeusz2010	17620
36	sp00ky_ghost977	16885
37	lordpipe	16852
38	crashomon	16816
39	PlasticOtari	16683
40	Blaiku	16164
41	rarrq	16128
42	FormulaNewt3627	14976
43	gcaisawesome	14968
44	Merv__	14657
45	Eczbek	14319
46	Kakolbus	14281
47	Hyp3rion_	14185
48	_Dean_123	13324
49	Ezekson	13065
50	Legendosh	12859
51	EveryonesUncle	12817
52	2blox_	12797
53	guiltybastard	11850
54	Awyrlas	11671
55	skitzxo	11611
56	El_Jalapeno	11571
57	Historical_Sand	11372
58	Enderxz3	11134
59	royal_2	10701
60	TheSecondLord	10645
61	Steelynan	10619
62	Njensen7	10464
63	PhantomsGhost_	9492
64	Soplight	9270
65	oscminus	9045
66	Galactic_Badger	8837
67	kekhon	8690
68	KarlKaek	8457
69	mihimihimihi	8451
70	xxPipperDipperxx	8221
71	Blackberry1310	8204
72	HesDemonPants	8184
73	ROY4LE	8173
74	k_ce	8053
75	Elastiq	7976
76	Lord_Jord	7885
77	Nicserso	7848
78	Akoot_	7792
79	Mr_Byzantine	7760
80	r123moore	7739
81	_Huge_Male_	7638
82	fragrantmonke444	7472
83	bl1ss0	7429
84	catandmoose	7364
85	WeebleSock	7363
86	Zaridey	7340
87	lorywithay	7282
88	Inchef	7249
89	jnp_gaming	7220
90	thescout7	7218
