rank	username	minecraft:crafted/minecraft:item_frame
1	pintsizedrogue	3225
2	Lez_	2347
3	thewindmillman	2122
4	HellsSponge	1503
5	beeperbeeper5	1420
6	500am	721
7	Hyp3rion_	700
8	joethahobo	670
9	TheShyPig	645
10	Z3braYTIL	640
10	Zythose	640
12	eitanzaki	636
13	EMC_	616
14	noam464	601
15	kekhon	584
16	Jackattack53	578
17	Legendosh	556
18	Chromary	468
19	Spacewardharpy7	434
20	ConnorDanky_	429
21	Werbe	428
22	EcksD	427
23	Ezekson	423
24	Smoke____	421
25	Elastiq	417
26	Mahoose	413
27	lordpipe	398
28	Marbz_	393
29	Njensen7	379
30	Da_Boss_Rani	366
31	PlasticOtari	355
32	EveryonesUncle	346
33	Kakolbus	340
34	fluddd	339
35	Blaiku	334
36	Kowcio_	332
37	xxPipperDipperxx	313
38	El_Jalapeno	312
39	luseis	284
40	mihimihimihi	281
41	YungMaki	277
42	Huwulling	276
43	jnp_gaming	256
44	Skylord_Luke	253
45	Blackberry1310	248
46	Inbefour	242
47	12Magner05	238
48	_Dean_123	231
49	Inchef	230
50	Airem_Core	223
51	xolstoi	222
52	SuperPooch06	220
53	Steelynan	219
54	Comma__	208
55	mariominejedi	207
56	mwrty	205
57	__tomato	202
58	Enderxz3	201
59	PortlyPete69	197
60	Rumpletaezer	196
61	RealGroot	195
62	m_be9	194
63	ApophisNova	184
63	MyNamaSheff	184
65	_Nuf	183
66	SSytex_X	182
67	Soplight	181
68	rarrq	178
69	Mattesco	175
70	Fullut	174
70	sp00ky_ghost977	174
72	bloodbiter	169
72	Vorlice	169
74	TheSecondLord	167
75	Akoot_	162
76	Merv__	159
76	TheThomas69	159
78	gabriels543	157
79	KartivGal	152
80	Jimb0nat0r	147
81	jessewegottacook	146
81	Touched_Bread	146
83	MilleGrug	145
84	Kubeusz2010	140
85	RoofTyler	138
86	fffMike	137
87	Syropatathe	129
88	Apollo_993	127
89	r123moore	121
90	titanlax	119
91	ImpavidArcher	115
92	SaucyDark	113
92	thescout7	113
92	Xclax101	113
95	claivin	109
96	Jovaphobic	106
97	KarlKaek	105
98	Snowflowe	104
98	CalebDHawk	104
100	Megarboh	103
100	ori0le	103
102	diamondgolem35	102
103	chimpmunker	98
103	ProfessorBee	98
103	gcaisawesome	98
103	Hiryu27	98
107	Groundler	96
108	SvenskaHugo	92
109	set67	91
110	Kouridragon	90
111	teslawolf38	89
111	Barlycorn	89
111	PlzNoBM	89
114	PegLegPete93	88
114	MAns_44	88
114	TechnoNinja64	88
117	Esme_1	87
117	Di_infiri	87
117	SkateboardR6	87
120	AuroraValkyrie	85
120	Xalithia	85
122	pappaberg	82
123	Fildyr	80
124	Awyrlas	79
125	SmashingPump	78
126	MangoTheFish	77
126	Eczbek	77
128	FreakGenius	76
129	Smashic	75
129	Winklepicker279	75
131	NomadicRobin_	72
132	Hoid_the_Roamer	71
133	TooManyDuck	70
133	SpacesickPrism	70
133	ZoomieZoomie	70
136	Racengan	69
136	vandmanden	69
138	Kateesaur	68
139	fkGrim	67
140	picardred	66
141	Historical_Sand	65
142	WET_WET_WET	64
143	Zaridey	62
144	SexcMf	61
145	MakeHistory157	60
146	little_dUki	57
147	BronkerBrum	56
148	fade_emerge78823	55
148	Lord_Jord	55
148	wezzzi	55
151	PigDab	53
152	_Virify_	52
152	NameGenerat0r	52
154	Sral7	51
155	roxycherry	50
155	starbits140	50
157	Mr_Byzantine	49
157	Truckoss	49
157	SammiWolfGirl	49
160	CoffeeNoir	48
160	XxCookiequeenxX	48
162	FazeObama69	46
163	Eraxa	44
163	VentiHilton	44
165	_Karmaa	43
166	seanitoo	42
166	Dusk_95	42
168	MyNameIsJobo	39
168	IdeallyGrey	39
170	Frozil20	38
170	ITDV	38
170	lcvezra	38
173	ThiccExotic	37
173	Notta	37
173	Russiancat1	37
176	hcb238	36
176	King_Pancake1	36
176	Typadopoulos	36
179	CliffEmAll	35
179	ROY4LE	35
179	censorsheep	35
179	Hermanni__	35
179	laron58	35
184	Flores991	34
184	MousePlays	34
184	MightyWertu	34
187	Euclidoris	33
187	MattieHD	33
189	PhantomsGhost_	32
189	trixterrx	32
189	yatsuta	32
189	Winston_Ingram	32
193	BlancoFlaco	31
193	NieToksikpl	31
193	Fizznut909	31
193	xzvu	31
197	wwwwinnebagoooo	30
197	Hisiste	30
199	TheDankPlatypus	29
199	RobotMinion101	29
199	stellarjay	29
202	binman420	28
202	Fuad_R	28
202	djancak	28
205	RoskobiOne	27
205	Alteriity	27
205	jacxhadow	27
205	natajimi	27
205	WyngGoy	27
210	TheBiggestFeller	26
210	Fuhrer_Teemo	26
210	DarlaMeow	26
213	T045RTY	25
213	GingerNeutron	25
213	EngagedGrub41	25
213	diggydog67	25
217	Bandito_Roamer	24
217	_Boipl_	24
217	Onennon	24
217	Leyna3	24
217	SaintJosie	24
217	Blu3beast	24
223	Incinere	23
223	Windo_licker	23
223	FishyBoy3811	23
223	fw3xywashere	23
223	pixelviolin	23
223	ThisUserIsStump	23
223	UrbanPlanningEx	23
223	h2p_emrld	23
231	gaziter10	22
231	NoxxxxiS	22
231	RyuNeko932000	22
231	Maenara	22
231	audiocracked	22
231	MyNameIsDakar	22
231	UCP_TheKingK	22
231	Kferno	22
239	SoftSix	21
239	Jonafrog99	21
239	Arceus1975	21
239	Factoroni	21
243	ougstur	20
243	Zoeyfortnite	20
245	tobinwilliams	19
245	Soap_Bender	19
245	SingedBread	19
245	OfficerAnvil	19
249	theofiel	18
249	Quotary	18
251	Sleek_Storm_721	17
251	Ozixar	17
251	Scathra	17
251	Ecplosive	17
251	LexMakesHistory	17
251	Matorz	17
257	Prismyst	16
257	Cryptacity	16
257	Covalents	16
257	Drewen24	16
257	NYJ	16
257	The_slideV3	16
257	StinkyDiplomat	16
257	Bloo2406	16
257	iSammael	16
257	RadarHz	16
267	q_wq	15
267	Hyugo	15
267	ShedJr_	15
267	dopplexd	15
267	Motsaro	15
267	Septemb3r	15
267	The11thDoctor	15
267	gustarlep	15
275	Froste131	14
275	abramgray	14
275	Guillemet	14
275	olliebollie48	14
275	John6970	14
275	Gamergirl420628	14
275	fReE_bAtWiNg	14
275	Kynigito	14
275	IAmTheWalrus910	14
284	Groovy_MoonBird	13
284	ssleepless	13
284	heckface	13
284	eiC_	13
284	XboxPanda	13
284	KlausVonStiglitz	13
290	Gundam_Steven	12
290	Zlatovlas	12
290	Swexti	12
290	Rebytre	12
290	CarryLine	12
290	Darkgon	12
290	Yahir091	12
290	33sudo	12
290	Powowowow	12
290	JayToe	12
300	dabloons	11
