rank	username	minecraft:crafted/minecraft:acacia_slab
1	beeperbeeper5	7429
2	AdmiralSmoke	6656
3	Onennon	1490
4	himak1	1236
5	eitanzaki	1111
6	Bandito_Roamer	1074
7	Zedducius	744
8	PlasticOtari	714
9	Franco093	672
10	CattSoup	648
11	gcaisawesome	618
12	Doom_melon	540
13	Snowflowe	522
13	Werbe	522
15	Steelynan	517
16	_Panyu_	462
17	ConnorDanky_	460
18	EMC_	444
19	KlausVonStiglitz	438
20	TheSeismicDuck	414
21	bitsplease	396
22	kekhon	390
22	r123moore	390
24	excelsionprime	384
25	EveryonesUncle	366
26	Merv__	340
27	4774	336
27	Winklepicker279	336
27	Kubeusz2010	336
30	Frozil20	318
31	set67	294
31	Manaateee	294
31	SvenskaHugo	294
34	ImpavidArcher	282
35	noam464	276
36	Sral7	270
37	Lord_Jord	256
38	YungMaki	252
39	youhjjhhhjj	234
39	JESS_THE_RERE	234
41	KarlKaek	228
42	ProfessorDiaper	210
42	xX_Stalin69_Xx	210
44	Lez_	204
44	TheShyPig	204
46	ReflexCode	198
47	thewindmillman	192
47	tsitrawhy	192
47	Enderxz3	192
47	xolstoi	192
51	starbits140	180
52	Mahoose	174
53	Meatlaugh	171
54	El_Jalapeno	162
54	LeeMcGee30	162
56	smogfrog	156
57	Barlycorn	147
58	Blackberry1310	144
58	ApophisNova	144
58	MyNamaSheff	144
58	Schlitzman	144
62	2Stout	132
62	DarlaMeow	132
62	KingMatthew506	132
65	pintsizedrogue	126
65	T045RTY	126
65	Megarboh	126
65	500am	126
65	lorpus	126
65	JureJurko	126
65	FreakGenius	126
72	Dakar_	120
72	lordpipe	120
72	Kowcio_	120
75	Soul_Atreus	114
76	Marbz_	108
76	Hoid_the_Roamer	108
78	ProfessorBee	102
78	Di_infiri	102
80	Huwulling	96
81	peach0s	90
82	Myrosia	84
82	FreddyFart	84
84	planc_	78
84	hanaryheatwave	78
86	HellsSponge	75
87	Vizzoid	73
88	_Ruzeeq_	72
89	Zaridey	66
90	benediktine1	64
91	Fractured_	60
91	_Nuf	60
91	ItsJunoIGuess	60
94	Mr_Byzantine	54
94	_Huge_Male_	54
94	TheSecondLord	54
97	Fullut	48
97	Chuvacevedo	48
97	AlexxO_o	48
97	Eraxa	48
101	MrKrabOnCoke	42
101	Jackattack53	42
103	SaucyDark	36
103	Touched_Bread	36
103	legal_tax_evader	36
103	Ezekson	36
107	m_be9	30
107	thescout7	30
107	ChillenChiggen	30
107	yaboo88	30
107	RobotMinion101	30
107	luseis	30
113	HypixelForums	27
114	Alexanderjac	24
114	xXTheWolfmanXx	24
114	MeowMeowMcmuffin	24
114	hayybails	24
114	Karetoko	24
114	Bumpy419	24
114	KartivGal	24
114	FelixPSY375	24
114	JayToe	24
123	Groovy_MoonBird	18
123	Apollo_993	18
123	CueMix	18
123	AgressiveEggdog	18
123	Euclidoris	18
123	bloodbiter	18
123	12Magner05	18
123	mariominejedi	18
123	ibarker21	18
123	Mattesco	18
123	_Karmaa	18
123	Typadopoulos	18
123	Segotep999	18
136	funeralhome	12
136	Hyugo	12
136	RatatJuice	12
136	Jackster03	12
136	Rich_Kat	12
136	ThePoliteG	12
136	Scathra	12
136	AnnieBathory	12
136	Quaintster	12
136	Groundler	12
136	Toriankel	12
136	SkateboardR6	12
136	IAmTheWalrus910	12
136	Optiprimus	12
136	underscore_2	12
136	stellarjay	12
152	FujiBS	6
152	SmashingPump	6
152	Mocha_Mug	6
152	6king6colt6	6
152	CoffeeNoir	6
152	dopplexd	6
152	Kamflame10	6
152	SPUDonSTEROIDS	6
152	MyNameIsJobo	6
152	WET_WET_WET	6
152	MustardDrinker	6
152	MousePlays	6
152	thgrocks	6
152	LeonelSalamanca	6
152	Inbefour	6
152	duqboy	6
152	_Bguette_	6
152	NameGenerat0r	6
152	fluddd	6
152	MS_Pryxx	6
152	sp00ky_ghost977	6
152	Razzgriz	6
152	07shiny	6
152	Soplight	6
152	xzvu	6
152	Vellu21	6
152	tartanboy	6
152	Nicserso	6
152	Jimb0nat0r	6
152	Biites	6
