rank	username	minecraft:crafted/minecraft:cyan_concrete_powder
1	lordpipe	6976
2	Di_infiri	2296
3	teslawolf38	1920
4	sebastiensaborio	1536
5	ImpavidArcher	1024
6	Swexti	944
7	beeperbeeper5	672
8	rarrq	640
8	Smoke____	640
10	_NieToksikpl_	512
10	Iagoku	512
10	Blackberry1310	512
10	Hoid_the_Roamer	512
10	h2p_emrld	512
15	r123moore	456
16	Legendosh	384
17	TheSecondLord	352
17	YungMaki	352
19	mwrty	320
20	ibarker21	304
21	TheShyPig	256
21	EveryonesUncle	256
21	Frozil12	256
21	stellarjay	256
25	sp00ky_ghost977	248
26	Ezekson	232
27	thewindmillman	201
28	eitanzaki	192
29	NameGenerat0r	176
30	Spacewardharpy7	168
31	Rumpletaezer	160
32	kinas45y5	128
33	noam464	120
34	Merv__	72
35	joethahobo	64
35	Notta	64
35	Hiryu27	64
35	Kowcio_	64
35	oxfordschool	64
40	KingMatthew506	56
41	500am	16
41	Groundler	16
43	pintsizedrogue	8
43	AuroraValkyrie	8
43	MousePlays	8
43	HellsSponge	8
43	MightyWertu	8
43	jnp_gaming	8
