rank	username	minecraft:crafted/minecraft:coal
1	pintsizedrogue	60511
2	Spacewardharpy7	41634
3	EMC_	24284
4	Werbe	19258
5	Enderslayerxz3	19238
6	noam464	18615
7	lordpipe	17804
8	TheShyPig	16376
9	Nicserso	16216
10	YungMaki	15333
11	eitanzaki	14711
12	_Nuf	10989
13	thewindmillman	10961
14	m_be9	10815
15	Inbefour	9548
16	joethahobo	8784
17	Segotep999	8636
18	Dedalus36	8370
19	TheThomas69	7855
20	FallenCorps	7726
21	Zythose	6966
22	mwrty	6949
23	Miko_Fullbuster	6733
24	Jiminie	6546
25	Mahoose	6395
26	jnp_gaming	6210
27	Blaiku	5967
28	Bumpy419	5871
29	rarrq	5652
30	MyNameIsJobo	5646
31	Hyp3rion_	5494
32	Skylord_Luke	5205
33	MightyWertu	5040
34	oxfordschool	4933
35	Kakolbus	4725
36	eviltunix	4644
37	Njensen7	4635
38	lillips	4603
39	Flores991	4572
40	kekhon	4446
41	q_wq	4369
42	GlitchyPlate810	4355
43	gcaisawesome	4201
44	sp00ky_ghost977	4031
45	Snowflowe	3995
46	Vizzoid	3968
47	Historical_Sand	3941
48	censorsheep	3780
49	Di_infiri	3735
50	Airem_Core	3699
51	Fullut	3528
52	Mewar	3387
53	beeperbeeper5	3384
54	Quincannon	3285
55	Awyrlas	3249
56	HellsSponge	3239
57	ProfessorBee	3172
58	500am	3145
59	LotusProject	3116
60	PhantomsGhost_	2887
61	TheBiggestFeller	2836
62	Akoot_	2781
63	_3Stump_	2772
64	Bandito_Roamer	2760
65	slkiey	2691
66	Rumpletaezer	2643
67	WyngGoy	2602
68	Smoke____	2551
69	Legendosh	2532
70	Lord_Jord	2457
71	Drlzyy	2435
72	Houstonion	2430
73	MakeHistory157	2384
74	audiocracked	2286
75	_Dean_123	2279
76	yulgur1	2209
77	_TCARREIRA_	2196
78	TheSeismicDuck	2187
79	MustaLoordi	2151
80	Megarboh	2124
81	CliffEmAll	2110
82	Da_Boss_Rani	2106
83	FirsTimeGamingTV	2070
83	fffMike	2070
85	Freak_Genius	2053
86	Blackberry1310	2038
87	LexMakesHistory	1944
88	12Magner05	1930
89	PlasticOtari	1926
90	Z3braYTIL	1910
91	r123moore	1887
92	FreddyFart	1872
93	Ecplosive	1818
94	ApophisNova	1793
95	TheSecondLord	1790
96	MyNamaSheff	1766
97	Racengan	1729
98	PigDab	1683
99	Powowowow	1679
100	NoChumpChange	1672
101	Inchef	1665
101	Groundler	1665
103	obzii	1601
104	Malorn_Aetherius	1593
105	NomadicRobin_	1579
106	Hisiste	1551
107	Merv__	1550
108	ExtraDumb	1473
109	Vetral1	1467
109	RadarHz	1467
111	teslawolf38	1458
111	TechnoNinja64	1458
113	Tolhart	1431
113	gabriels543	1431
113	Onennon	1431
116	Eraxa	1422
117	livingdaydreams	1418
118	DanTheBuilderino	1332
119	wezzzi	1287
120	thescout7	1224
121	Jackster03	1215
122	Soplight	1206
123	Hermanni__	1200
124	Sheldor097	1161
125	Jovaphobic	1098
125	ori0le	1098
127	fkGrim	1071
127	Eczbek	1071
129	KGTV	1053
130	ClemenPine	1035
131	Shogunite	990
132	starbits140	973
133	Hiryu27	972
134	anbbang	941
135	Sleek_Storm_721	936
135	fluddd	936
137	bloodbiter	913
138	MattieHD	909
138	Stiar	909
140	Iagoku	900
141	Franco093	857
142	Deathkob	839
143	T045RTY	834
143	RefluxRatio	834
145	Toriankel	811
146	Zedducius	808
146	Ezekson	808
148	lizardfightclub	792
149	Fuad_R	774
150	KliBeast21	756
150	Xclax101	756
152	DarlaMeow	747
152	SSytex_X	747
154	sufjanlover	741
155	Wooptey	738
155	Frozil12	738
157	EveryonesUncle	729
