rank	username	minecraft:crafted/minecraft:light_blue_concrete_powder
1	Hyp3rion_	29440
2	lordpipe	10696
3	Spacewardharpy7	3840
4	TheSecondLord	2488
5	Steelynan	2304
6	RoboTramp7865	1920
7	Manaateee	1416
8	Frozil20	1408
9	ssleepless	1296
10	500am	1168
11	beeperbeeper5	1144
12	Di_infiri	1024
13	Blackberry1310	848
14	Merv__	832
14	YungMaki	832
16	AdmiralSmoke	800
17	CoffeeNoir	776
18	iSammael	704
19	pintsizedrogue	632
20	lcvezra	600
21	Groovy_MoonBird	528
22	Legendosh	520
23	Iagoku	512
23	Hoid_the_Roamer	512
25	noam464	488
25	Kowcio_	488
27	Onennon	440
28	EMC_	296
29	oscminus	256
29	claivin	256
31	thewindmillman	208
32	AuroraValkyrie	192
32	ImpavidArcher	192
32	mwrty	192
32	TheShyPig	192
32	Winston_Ingram	192
37	Rumpletaezer	160
37	Bumpy419	160
39	joethahobo	144
39	fluddd	144
41	LordSpeed37	136
42	Notta	128
42	kekhon	128
44	Enderxz3	120
45	Druid95	104
46	SvenskaHugo	88
47	eitanzaki	72
48	Maenara	64
48	MakeHistory157	64
48	sp00ky_ghost977	64
48	ConnorDanky_	64
48	TechnoNinja64	64
53	_Dean_123	56
54	Arceus1975	48
54	Akoot_	48
54	MightyWertu	48
54	KingMatthew506	48
54	Jimb0nat0r	48
59	TheBiggestFeller	40
60	Iamthejo	32
61	Huwulling	24
61	Ezekson	24
63	youhjjhhhjj	16
63	Deathkob	16
65	Fullut	8
65	LeauVox4921	8
65	Kakolbus	8
65	Rebytre	8
65	MousePlays	8
65	HellsSponge	8
65	Groundler	8
65	jnp_gaming	8
