rank	username	minecraft:crafted/minecraft:end_stone_brick_stairs
1	Mewar	772
2	joethahobo	768
3	mwrty	400
4	PigDab	360
5	mihimihimihi	116
6	TheEnderman548	52
7	Incinere	40
7	Akoot_	40
7	Blu3beast	40
7	Racengan	40
7	Smoke____	40
12	thewindmillman	32
13	SuperPooch06	28
14	m_be9	24
15	Rich_Kat	20
15	Arceus1975	20
17	6king6colt6	19
18	elicobnoah	16
18	burbankbuilder28	16
20	Kubeusz2010	10
20	Ezekson	10
22	eiC_	8
23	pintsizedrogue	4
23	AuroraValkyrie	4
23	catandmoose	4
23	El_Jalapeno	4
23	Nicserso	4
28	Mahoose	2
28	beeperbeeper5	2
