rank	username	minecraft:crafted/minecraft:diamond_shovel
1	joethahobo	282
2	Hyp3rion_	162
3	noam464	107
4	gcaisawesome	74
5	Di_infiri	73
6	Blaiku	58
7	CoffeeNoir	55
8	eviltunix	45
9	Enderslayerxz3	37
10	cedric72	34
11	Skylord_Luke	32
12	MattieHD	27
12	ApophisNova	27
12	TheShyPig	27
12	MyNamaSheff	27
16	gabriels543	25
16	PigDab	25
16	EcksD	25
19	Blu3beast	23
20	Smoke____	19
21	Werbe	18
21	Akoot_	18
23	fred870d	17
24	_Virify_	16
24	picardred	16
26	Njensen7	15
27	Franco093	14
27	HellsSponge	14
29	BlancoFlaco	13
30	ProfessorBee	12
30	Kubelz	12
32	pintsizedrogue	11
32	Groovy_MoonBird	11
32	12Magner05	11
32	burbankbuilder28	11
36	_Dean_123	10
37	PhantomsGhost_	9
37	rarrq	9
37	Notta	9
37	m_be9	9
37	set67	9
37	audiocracked	9
37	Xclax101	9
37	Spacewardharpy7	9
37	lordpipe	9
46	Kim_Jong_eel	8
46	censorsheep	8
46	MightyWertu	8
46	Groundler	8
46	Eraxa	8
46	SSytex_X	8
52	Merv__	7
52	chimpmunker	7
52	Hyugo	7
52	Dedalus36	7
52	Historical_Sand	7
52	thescout7	7
52	himak1	7
52	Inchef	7
52	hcb238	7
52	mariominejedi	7
52	epiksk8erduck	7
52	MonitorLizards	7
52	Dan_Scha	7
52	The_slideV3	7
52	BumbleBeever	7
52	obzii	7
52	Hermanni__	7
52	RadarHz	7
52	FelixPSY375	7
71	RoskobiOne	6
71	awesomeoneme	6
71	Euclidoris	6
71	jacxhadow	6
71	mwrty	6
71	emrekn	6
71	Xalithia	6
71	ROY4LE	6
71	XboxPanda	6
71	Kakolbus	6
71	Snowflowe	6
71	Bumpy419	6
71	Sky_light_KING	6
71	wezzzi	6
71	Russiancat1	6
71	Racengan	6
71	pixelviolin	6
71	lcvezra	6
71	sebastiensaborio	6
71	Miko_Fullbuster	6
71	Sral7	6
92	TheBiggestFeller	5
92	Alexanderjac	5
92	bigstankyy	5
92	SaucyDark	5
92	eitanzaki	5
92	Simon_Lowell	5
92	Jackster03	5
92	beeperbeeper5	5
92	Rich_Kat	5
92	thewindmillman	5
92	Zythose	5
92	CrateOfBoxes	5
92	Maenara	5
92	El_Jalapeno	5
92	cog	5
92	radioactv_jelly	5
92	Xovalt_	5
92	Optiprimus	5
92	PlzNoBM	5
92	diggydog67	5
112	Jovaphobic	4
112	AuroraValkyrie	4
112	KarlKaek	4
112	T045RTY	4
112	nocturne78	4
112	Cryptacity	4
112	Zedducius	4
112	zorin123	4
112	Scathra	4
112	beeleg	4
112	Zaridey	4
112	PeteO1995	4
112	Winklepicker279	4
112	ibarker21	4
112	_Boipl_	4
112	HolyVenom	4
112	Joestra	4
112	Inbefour	4
112	_Bguette_	4
112	MyNameIsDakar	4
112	Warlord324	4
112	Strangemonkey71	4
112	TheEnderman548	4
112	Segotep999	4
112	__tomato	4
112	oxfordschool	4
112	HesDemonPants	4
112	EcksDofficial	4
112	JohnPrice	4
141	Mr_Byzantine	3
141	dudcreeper	3
141	Cowison	3
141	jspwn	3
141	Drlzyy	3
141	6king6colt6	3
141	RebelAndroid	3
141	Seyaboy	3
141	301851	3
141	BobDeBouwer1337	3
141	Cortexia	3
141	500am	3
141	SLASHZEERA	3
141	Stiar	3
141	ayqq	3
141	John6970	3
141	TheDankPlatypus	3
141	ImDisconnected_	3
141	SlayerCrypto	3
141	whoaluv	3
141	WET_WET_WET	3
141	DaviusMaximoose	3
141	The11thDoctor	3
141	seramalen	3
141	victorLIE	3
141	NormanFetus	3
141	lizardfightclub	3
141	Nicky19	3
141	Lord_Jord	3
141	masskedman	3
141	NoChumpChange	3
141	balin55	3
141	Toiton	3
141	Meatlaugh	3
141	DemTechAlpha	3
141	Darkgon	3
141	EfficientC52	3
141	RedcatVII	3
141	Barlycorn	3
141	Fildyr	3
141	SUN_DREAM	3
141	ElKaySVK	3
141	Smiguli_	3
141	WyngGoy	3
141	sp00ky_ghost977	3
141	Cocoamallows	3
141	33sudo	3
141	ayamefag	3
141	yatsuta	3
141	djancak	3
141	Chuglyfe	3
141	Luigipunch989	3
141	PortlyPete69	3
141	GlitchyPlate810	3
141	Winston_Ingram	3
141	MilleGrug	3
141	striker90333	3
141	mobunni	3
141	TheOnlyRake	3
141	Legendosh	3
141	Powowowow	3
141	kinas45y5	3
203	Louiis123	2
203	Lepthymo	2
203	Menthas	2
203	Tobinator_007	2
203	Ganongeek	2
203	Mowelan	2
203	soundad	2
203	KingFaenor	2
203	I_Am_Mushkin	2
203	Begformurrcy	2
203	ExtraDumb	2
203	ImpavidArcher	2
203	Gundam_Steven	2
203	Tolhart	2
203	Hpdinosaur	2
203	Wooptey	2
203	the_fireminer	2
203	BodaciousCake	2
203	livingdaydreams	2
203	AlazelTheReal	2
203	Mahoose	2
203	H72l9w	2
203	IWorkAtIkea	2
203	heckface	2
203	DirtyDalle	2
203	Vizzoid	2
203	Prodiginus	2
203	Malorn_Aetherius	2
203	Frxnkz	2
203	CliffEmAll	2
203	TheSecondLord	2
203	Comma__	2
203	MrExplorer	2
203	Ardennes	2
203	TheThomas69	2
203	_Nuf	2
203	Enigma0251	2
203	boog4loo	2
203	slkiey	2
203	potato292	2
203	UncreativeArtist	2
203	Hanselhoof	2
203	Mewar	2
203	Tjhodskins19	2
203	Septemb3r	2
203	SharpDev	2
203	xxPipperDipperxx	2
203	NoxxxxiS	2
203	brrh	2
203	benediktine1	2
203	TableTim	2
203	fallingemma	2
203	Karetoko	2
203	toj__	2
203	loveseeker	2
203	MyNameIsJobo	2
203	Doom_melon	2
203	SuperPooch06	2
203	Chromary	2
203	Rumpletaezer	2
203	Arceus1975	2
203	SamZombie	2
203	_8man	2
203	AnnieBathory	2
203	andy_rex	2
203	Fast_Turtle	2
203	SokaOtaku	2
203	Donutt	2
203	Hiryu27	2
203	Voxin2K	2
203	DanielMmm	2
203	Skomo	2
203	jewbacaman	2
203	_naturell	2
203	FishyBoy3811	2
203	Ajax6	2
