rank	username	minecraft:crafted/minecraft:polished_blackstone_brick_stairs
1	Zythose	2112
2	burbankbuilder28	1368
3	Blackberry1310	1259
4	Kubeusz2010	826
5	Winklepicker279	696
6	Fullut	685
7	Spacewardharpy7	496
8	set67	404
9	thewindmillman	399
10	MyNameIsDakar	323
11	beeperbeeper5	268
12	6king6colt6	244
13	himak1	236
14	xxPipperDipperxx	231
15	Shogunite	184
16	Ezekson	168
17	PlasticOtari	167
18	Werbe	164
18	PortlyPete69	164
20	Klerick	160
21	CliffEmAll	152
22	YungMaki	146
23	Billious	132
24	Decaying_Lotus	124
25	EcksD	116
26	Mattesco	104
27	ogoa	91
28	Legendosh	85
29	Deathkob	73
30	FishyBoy3811	71
31	r123moore	60
31	Dusk_95	60
33	Freak_Genius	56
34	egglapras	52
35	Awyrlas	50
36	MSK__	44
37	sp00ky_ghost977	40
38	noam464	36
39	ApophisNova	28
39	MyNamaSheff	28
41	RebelAndroid	25
42	Steelynan	20
43	ImpavidArcher	19
44	Yatitay	16
44	SkateboardR6	16
46	kekhon	12
47	pintsizedrogue	11
48	nataliecool	8
48	KarlKaek	8
48	BobDeBouwer1337	8
48	breadbowlgamer	8
48	Vorlice	8
48	Eraxa	8
48	little_dUki	8
55	soundad	4
55	Myszoaz	4
55	KeruNatsema	4
55	Jiminie	4
55	DarkS0L	4
55	TheTommyGun63	4
55	Eon_57	4
55	cichy096	4
55	Smoke____	4
64	fred870d	3
64	HellsSponge	3
66	Rebytre	2
66	Soplight	2
