rank	username	minecraft:crafted/minecraft:polished_blackstone_brick_stairs
1	Zythose	2112
2	burbankbuilder28	1368
3	Blackberry1310	1259
4	Kubeusz2010	826
5	Winklepicker279	696
6	Fullut	685
7	Spacewardharpy7	496
8	set67	404
9	thewindmillman	399
10	Mattesco	323
10	MyNameIsDakar	323
12	beeperbeeper5	268
13	6king6colt6	244
14	himak1	236
15	xxPipperDipperxx	231
16	Shogunite	184
17	Ezekson	168
18	PlasticOtari	167
19	Werbe	164
19	PortlyPete69	164
21	Klerick	160
22	CliffEmAll	152
23	YungMaki	146
24	Billious	132
25	Decaying_Lotus	124
26	EcksD	116
27	ogoa	91
28	Legendosh	85
29	Deathkob	73
30	FishyBoy3811	71
31	r123moore	60
31	Dusk_95	60
33	Freak_Genius	56
34	egglapras	52
35	Awyrlas	50
36	MSK__	44
37	ToastedGamingYT	40
37	sp00ky_ghost977	40
39	noam464	36
40	ApophisNova	28
40	MyNamaSheff	28
42	RebelAndroid	25
43	Steelynan	20
44	ImpavidArcher	19
45	Yatitay	16
45	SkateboardR6	16
47	kekhon	12
48	pintsizedrogue	11
49	nataliecool	8
49	KarlKaek	8
49	BobDeBouwer1337	8
49	breadbowlgamer	8
49	Vorlice	8
49	Eraxa	8
49	little_dUki	8
56	soundad	4
56	Myszoaz	4
56	KeruNatsema	4
56	Jiminie	4
56	DarkS0L	4
56	TheTommyGun63	4
56	Eon_57	4
56	cichy096	4
56	Smoke____	4
65	fred870d	3
65	HellsSponge	3
67	Rebytre	2
67	Soplight	2
