rank	username	minecraft:crafted/minecraft:cut_sandstone
1	Frozil12	21264
2	CACTUSLAD	8574
3	El_Jalapeno	7540
4	Freak_Genius	6895
5	Fuad_R	6484
6	Steelynan	6478
7	shrimp_flips	6012
8	Kim_Jong_eel	5240
9	loveseeker	5220
10	Ajax6	4636
11	iHuntWeeaboos	4152
12	joethahobo	2968
13	Smoke____	2808
14	Merv__	2553
15	FreddyFart	1600
16	Deodorante	1140
17	lOlmantschi	1124
18	_Karmaa	1116
19	eviltunix	1060
19	stahouo	1060
21	Sheldor097	984
22	2Stout	964
23	ImpavidArcher	948
23	NameGenerat0r	948
25	Da_Boss_Rani	920
26	Ailmast	888
26	YungMaki	888
28	burbankbuilder28	884
29	TheShyPig	812
30	tuckerdoodle	800
31	SteveCraftBlocks	788
32	Doom_melon	780
33	thgrocks	712
34	gcaisawesome	704
35	Bumpy419	608
35	Legendosh	608
37	GLLogan2	604
38	kekhon	552
39	Werbe	532
40	brrh	512
40	cedric72	512
42	Optiprimus	496
42	Segotep999	496
44	KingFaenor	428
45	_stets	420
46	stellarjay	416
47	_naturell	404
48	r123moore	400
49	Arceus1975	392
50	Freeman666	388
51	Rich_Kat	384
51	Snowflowe	384
53	pintsizedrogue	380
54	radioactv_jelly	368
55	beeperbeeper5	360
56	chipklip	356
57	rarrq	352
58	RodSerlingCringe	344
59	Sral7	328
60	Felenov	316
61	Jackattack53	312
62	eitanzaki	304
63	Hyp3rion_	296
64	wobn	280
65	Fullut	272
66	potato292	268
67	YungJakobo	264
68	Lord_Jord	260
69	Kakolbus	256
69	ApophisNova	256
69	MousePlays	256
69	MyNamaSheff	256
73	AuroraValkyrie	244
73	tobinwilliams	244
75	Kyrum2169	228
76	Franco093	220
77	jspwn	216
78	TheMaster972	200
79	MightyWertu	196
80	Euclidoris	192
81	Sky_light_KING	176
81	Inbefour	176
83	Deerfoot	172
84	NNikitas	168
85	Mr_Byzantine	152
86	andy_rex	148
87	BodaciousCake	144
88	epiksk8erduck	140
89	_Dean_123	128
89	Maenara	128
89	audiocracked	128
92	AnnieBathory	124
93	JESS_THE_RERE	120
94	Sleepy_Time_	112
94	xX_Stalin69_Xx	112
94	Nicserso	112
97	Mahoose	96
97	Arteriana	96
99	TiborSterle	92
100	FGamerJ	88
101	EcksDofficial	85
102	Eraxa	84
103	Hyugo	80
104	MeowMeowMcmuffin	76
105	Jiminie	68
105	JasmineGK	68
107	Healthing	64
107	Sabby65	64
107	peach0s	64
107	Vizzoid	64
107	set67	64
107	SuperPooch06	64
107	Rebytre	64
107	Onennon	64
107	hide_on_mac	64
107	WyngGoy	64
107	Cocoamallows	64
107	OfficerAnvil	64
107	YoshikageBites	64
120	PhantomsGhost_	56
120	fluddd	56
122	jessemgaming	52
122	Notta	52
124	JayToe	48
125	xxPipperDipperxx	44
126	Hpdinosaur	40
127	hm947	38
128	Xclax101	36
128	Njensen7	36
130	Enderslayerxz3	34
131	John6970	32
131	groofles	32
131	GravitySaint	32
134	Kamflame10	28
134	Inchef	28
134	Spacewardharpy7	28
137	Barlycorn	24
137	toos1esl1de	24
137	SexcMf	24
137	ReyTheLegend	24
141	Dreamdbr14	20
142	Groovy_MoonBird	16
142	CueMix	16
142	uhm__okay	16
142	Blackberry1310	16
142	DSYisDizzy	16
142	RobotMinion101	16
142	Jij0	16
142	Soplight	16
142	MilleGrug	16
151	CoffeeNoir	12
151	noam464	12
151	RustyKedel	12
151	MangoTheFish	12
151	TheSeismicDuck	12
151	Eczbek	12
157	I_Am_Mushkin	8
157	thewindmillman	8
157	Zythose	8
157	mobunni	8
157	Ezekson	8
162	SirUnderpants	4
162	ExtraDumb	4
162	Ssor69	4
162	_Nuf	4
162	thebest_daniela	4
162	Scathra	4
162	Kubelz	4
162	NotoriousNina	4
162	Studyhallsaver	4
162	sammidk	4
162	ElderRifken	4
162	EveryonesUncle	4
162	Typadopoulos	4
162	_TCARREIRA_	4
162	erkada	4
162	cichy096	4
162	AltnumberF4	4
179	Deathkob	3
180	RebelAndroid	1
