rank	username	minecraft:crafted/minecraft:iron_hoe
1	Smoke____	139
2	Di_infiri	70
3	TheThomas69	32
3	PlasticOtari	32
5	joethahobo	26
6	eitanzaki	24
7	lordpipe	21
8	Freak_Genius	20
9	MixerDixer	15
9	Enderslayerxz3	15
11	RyuNeko932000	14
12	pintsizedrogue	12
12	rarrq	12
14	jaimshae	11
15	set67	10
15	Xalithia	10
15	nut_e	10
15	Werbe	10
15	Katsuragi0243218	10
15	AssEatrAndLicker	10
15	djancak	10
15	Njensen7	10
15	JungeSchnauzer	10
24	beeperbeeper5	9
24	ApophisNova	9
24	MyNamaSheff	9
27	Fullut	8
27	DanTheBuilderino	8
27	MightyWertu	8
27	Mistruth	8
27	Ezekson	8
32	Froste131	7
32	Merv__	7
32	burbankbuilder28	7
32	TheShyPig	7
32	Akoot_	7
32	Legendosh	7
38	picardred	6
38	Malorn_Aetherius	6
38	Awyrlas	6
38	PegLegPete93	6
38	Kakolbus	6
38	PigDab	6
38	MovingFish7	6
38	PortlyPete69	6
46	Mr_Byzantine	5
46	_stets	5
46	KarlKaek	5
46	Dedalus36	5
46	MSK__	5
46	12Magner05	5
46	bruh072	5
46	Razzgriz	5
46	LeeMcGee30	5
46	MeetTheWollo	5
46	Zoeyfortnite	5
46	EcksDofficial	5
58	q_wq	4
58	EMC_	4
58	livingdaydreams	4
58	Ssor69	4
58	TheSecondLord	4
58	bloodbiter	4
58	CrookedKaptain	4
58	eviltunix	4
58	hcb238	4
58	r123moore	4
58	toj__	4
58	whoaluv	4
58	Arceus1975	4
58	Hiryu27	4
58	TheTrueClipse	4
58	Lord_Jord	4
58	KnightmareD	4
58	Russiancat1	4
58	Jiminie	4
58	wobn	4
58	Barlycorn	4
58	Warlord324	4
58	fffMike	4
58	Hermanni__	4
58	anbbang	4
58	cichy096	4
58	RadarHz	4
58	diggydog67	4
86	Drlzyy	3
86	Hyugo	3
86	ImpavidArcher	3
86	SaucyDark	3
86	Historical_Sand	3
86	dopplexd	3
86	Blackberry1310	3
86	jushykins	3
86	m_be9	3
86	kekhon	3
86	ProfessorBee	3
86	_Dean_123	3
86	thescout7	3
86	TheDankPlatypus	3
86	mariominejedi	3
86	thewindmillman	3
86	SokaOtaku	3
86	Bumpy419	3
86	MustardDrinker	3
86	The11thDoctor	3
86	cedric72	3
86	Lord_Zacler	3
86	sufjanlover	3
86	MyNameIsDakar	3
86	Xclax101	3
86	_czarny	3
86	Spacewardharpy7	3
86	monky_irl	3
86	Dusk_95	3
86	OG_Songsee	3
86	Ze_BaronKrigler	3
86	Decaying_Lotus	3
86	07shiny	3
86	Shin69	3
86	starbits140	3
86	__tomato	3
86	brofrickcheaters	3
86	obzii	3
86	DennyKai	3
86	EcksD	3
86	Wolverine4302	3
86	kinas45y5	3
86	MelodyGaysharks	3
129	Louiis123	2
129	Jovaphobic	2
129	weezygator	2
129	Mr_Anders	2
129	_Virify_	2
129	Harotio	2
129	Jalvajar	2
129	Mowelan	2
129	Cowison	2
129	DepressedCubic	2
129	Tommhh	2
129	Iagoku	2
129	rachcl	2
129	Sabby65	2
129	Tolhart	2
129	RebelAndroid	2
129	TAKrules	2
129	AlazelTheReal	2
129	awesomeoneme	2
129	301851	2
129	Valoth	2
129	Ardennes	2
129	_Nuf	2
129	Jokerman369	2
129	boog4loo	2
129	slkiey	2
129	mwrty	2
129	surfinggiraffejp	2
129	theonlymagikarp	2
129	Matek_	2
129	benediktine1	2
129	purpolepickle	2
129	DirtyBoar	2
129	pumpfonzo	2
129	DermeinUser	2
129	fallingemma	2
129	Orcus113	2
129	SuperPooch06	2
129	DaviusMaximoose	2
129	andy_rex	2
129	dendydoom	2
129	The_Fulgurator	2
129	Skylord_Luke	2
129	CaptainDeadBread	2
129	Voxin2K	2
129	ItsAki_	2
129	RobotMinion101	2
129	seramalen	2
129	MinerDec	2
129	epiksk8erduck	2
129	superGamerBoy_	2
129	thgrocks	2
129	Kryktal	2
129	NormanFetus	2
129	Negriuke	2
129	masskedman	2
