rank	username	minecraft:crafted/minecraft:mangrove_slab
1	TheWickedBird	1966
2	Mr_Byzantine	1800
3	k_ce	1415
4	Merv__	1096
5	Huwulling	996
6	Cache3	498
7	Steelynan	418
8	PazinGaming	394
9	LuvLuvLove	354
10	KarlKaek	264
11	EngagedGrub41	216
12	craaaash	210
13	Kowcio_	150
14	hanaryheatwave	132
14	Olib3ar	132
16	Jimb0nat0r	114
17	12Magner05	108
18	beeperbeeper5	90
19	SvenskaHugo	84
20	Yamdalorian	78
21	milltesco	66
22	Kondzik2008	60
22	Manaateee	60
24	KamFurnace	42
25	bl1ss0	36
26	pintsizedrogue	30
26	Soplight	30
26	Nicserso	30
29	Crizma_	24
29	Enderxz3	24
31	falcon244	12
31	U_Mos_	12
31	XxCookiequeenxX	12
31	luseis	12
31	Pumpkin_P_Patch	12
31	CalebDHawk	12
37	Apollo_993	6
37	Mahoose	6
37	Sleepy_Time_	6
37	Mattesco	6
37	pixelviolin	6
37	TheKingK_	6
37	PlasticOtari	6
